Source_Titles,records,percent_of_total
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE,16,0.053
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,16,0.053
JOURNAL OF BONE AND MINERAL RESEARCH,16,0.053
KARDIOLOGIA POLSKA,16,0.053
LIVER INTERNATIONAL,16,0.053
MEDIATORS OF INFLAMMATION,16,0.053
NUTRITION DIABETES,16,0.053
OXIDATIVE MEDICINE AND CELLULAR LONGEVITY,16,0.053
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,16,0.053
PEDIATRIC DIABETES,16,0.053
PEDIATRIC OBESITY,16,0.053
TRIALS,16,0.053
WORLD JOURNAL OF GASTROENTEROLOGY,16,0.053
AMERICAN JOURNAL OF MENS HEALTH,15,0.05
ANNALS OF ALLERGY ASTHMA IMMUNOLOGY,15,0.05
APPLIED PHYSIOLOGY NUTRITION AND METABOLISM,15,0.05
AUTONOMIC NEUROSCIENCE BASIC CLINICAL,15,0.05
CIENCIA SAUDE COLETIVA,15,0.05
CONTRACEPTION,15,0.05
CURRENT MEDICINAL CHEMISTRY,15,0.05
FRONTIERS IN PHARMACOLOGY,15,0.05
GENETICS IN MEDICINE,15,0.05
INTERNATIONAL DAIRY JOURNAL,15,0.05
INTERNATIONAL JOURNAL FOR VITAMIN AND NUTRITION RESEARCH,15,0.05
JNCI JOURNAL OF THE NATIONAL CANCER INSTITUTE,15,0.05
JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,15,0.05
JOURNAL OF DIABETES INVESTIGATION,15,0.05
JOURNAL OF PSYCHIATRIC RESEARCH,15,0.05
JOURNAL OF PUBLIC HEALTH,15,0.05
JOURNAL OF SPORTS SCIENCES,15,0.05
JOURNAL OF STROKE CEREBROVASCULAR DISEASES,15,0.05
LIPIDS,15,0.05
MAGNESIUM RESEARCH,15,0.05
MOLECULAR PSYCHIATRY,15,0.05
NETHERLANDS HEART JOURNAL,15,0.05
NUTRITION RESEARCH AND PRACTICE,15,0.05
ONCOTARGET,15,0.05
PEDIATRIC CARDIOLOGY,15,0.05
PEDIATRIC RESEARCH,15,0.05
RACE AND SOCIAL PROBLEMS,15,0.05
RESPIROLOGY,15,0.05
SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT HEALTH,15,0.05
ADVANCES IN CHRONIC KIDNEY DISEASE,14,0.046
AGING CLINICAL AND EXPERIMENTAL RESEARCH,14,0.046
ANNUAL REVIEW OF NUTRITION,14,0.046
ARCHIVES OF MEDICAL RESEARCH,14,0.046
CARDIOLOGY,14,0.046
CARDIOLOGY IN REVIEW,14,0.046
CLINICAL GENETICS,14,0.046
CLINICAL INFECTIOUS DISEASES,14,0.046
CLINICAL LIPIDOLOGY,14,0.046
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,14,0.046
DIABETES METABOLISM JOURNAL,14,0.046
DISEASE MARKERS,14,0.046
EXPERIMENTAL GERONTOLOGY,14,0.046
JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,14,0.046
JOURNAL OF CLINICAL INVESTIGATION,14,0.046
JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,14,0.046
JOURNAL OF NEPHROLOGY,14,0.046
JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,14,0.046
MEDICAL CLINICS OF NORTH AMERICA,14,0.046
NATURE COMMUNICATIONS,14,0.046
PHYSICIAN AND SPORTSMEDICINE,14,0.046
SPORTS MEDICINE,14,0.046
STATISTICS IN MEDICINE,14,0.046
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,13,0.043
ANNALS OF HUMAN GENETICS,13,0.043
ANTIOXIDANTS REDOX SIGNALING,13,0.043
ARCHIVES OF MEDICAL SCIENCE,13,0.043
BIOMEDICAL AND ENVIRONMENTAL SCIENCES,13,0.043
BMC WOMENS HEALTH,13,0.043
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,13,0.043
CARDIOLOGY IN THE YOUNG,13,0.043
CHEMOSPHERE,13,0.043
CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,13,0.043
DEVELOPMENTAL PSYCHOLOGY,13,0.043
DIABETES METABOLIC SYNDROME AND OBESITY TARGETS AND THERAPY,13,0.043
FOOD FUNCTION,13,0.043
JOGNN JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING,13,0.043
JOURNAL OF INVESTIGATIVE MEDICINE,13,0.043
JOURNAL OF SEXUAL MEDICINE,13,0.043
JOURNAL OF UROLOGY,13,0.043
PEDIATRIC CLINICS OF NORTH AMERICA,13,0.043
PERSONALITY AND INDIVIDUAL DIFFERENCES,13,0.043
PSYCHOPHARMACOLOGY,13,0.043
RESEARCH IN NURSING HEALTH,13,0.043
SCANDINAVIAN JOURNAL OF MEDICINE SCIENCE IN SPORTS,13,0.043
SEMINARS IN NEPHROLOGY,13,0.043
TRANSLATIONAL PSYCHIATRY,13,0.043
TRANSPLANTATION,13,0.043
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,12,0.04
AMERICAN JOURNAL OF GASTROENTEROLOGY,12,0.04
AMERICAN JOURNAL OF PHYSIOLOGY ENDOCRINOLOGY AND METABOLISM,12,0.04
AMERICAN JOURNAL OF PSYCHIATRY,12,0.04
AMERICAN JOURNAL OF TRANSPLANTATION,12,0.04
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,12,0.04
ARTERIOSCLEROSIS AND THROMBOSIS,12,0.04
BREAST CANCER RESEARCH AND TREATMENT,12,0.04
BRITISH JOURNAL OF HEALTH PSYCHOLOGY,12,0.04
CANADIAN JOURNAL OF DIABETES,12,0.04
CEREBROVASCULAR DISEASES,12,0.04
CLINICAL INTERVENTIONS IN AGING,12,0.04
CLINICAL NEPHROLOGY,12,0.04
CLINICAL RHEUMATOLOGY,12,0.04
COMPREHENSIVE PSYCHIATRY,12,0.04
CURRENT SPORTS MEDICINE REPORTS,12,0.04
DEPRESSION AND ANXIETY,12,0.04
DRUG AND ALCOHOL REVIEW,12,0.04
DRUGS,12,0.04
EATING AND WEIGHT DISORDERS STUDIES ON ANOREXIA BULIMIA AND OBESITY,12,0.04
ESC HEART FAILURE,12,0.04
EUROPEAN JOURNAL OF OBSTETRICS GYNECOLOGY AND REPRODUCTIVE BIOLOGY,12,0.04
EUROPEAN REVIEW FOR MEDICAL AND PHARMACOLOGICAL SCIENCES,12,0.04
HEALTHCARE,12,0.04
HEART AND VESSELS,12,0.04
HUMAN REPRODUCTION,12,0.04
INTERNATIONAL JOURNAL OF SPORTS MEDICINE,12,0.04
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY IN PRACTICE,12,0.04
JOURNAL OF ENDOCRINOLOGY,12,0.04
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,12,0.04
JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY,12,0.04
JOURNAL OF SOCIAL ISSUES,12,0.04
JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,12,0.04
LANCET DIABETES ENDOCRINOLOGY,12,0.04
MOLECULAR MEDICINE REPORTS,12,0.04
PHARMACOLOGY THERAPEUTICS,12,0.04
PLOS GENETICS,12,0.04
PRIMARY CARE,12,0.04
PSYCHOLOGY OF ADDICTIVE BEHAVIORS,12,0.04
PSYCHOSOMATICS,12,0.04
QUALITY OF LIFE RESEARCH,12,0.04
REVISTA PORTUGUESA DE CARDIOLOGIA,12,0.04
SALUD PUBLICA DE MEXICO,12,0.04
