Title,Authors,Corporate_Authors,Editors,Book_Editors,Source_Title,Publication_Date,Publication_Year,Volume,Issue,Part_Number,Supplement,Special_Issue,Beginning_Page,Ending_Page,Article_Number,DOI,Conference_Title,Conference_Date,Total_Citations,Average_per_Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Weight gain continues in the 1990s: 10-year trends in weight and overweight from the CARDIA study,"Lewis, CE; Jacobs, DR; McCreath, H; Kiefe, CI; Schreiner, PJ; Smith, DE; Williams, OD",,,,AMERICAN JOURNAL OF EPIDEMIOLOGY,JUN 15 2000,2000,151,12,,,,1172,1181,,,,,334,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,14,16,12,13,14,26,28,17,21,18,25,27,24,20,16,8,13,7,0
MISCLASSIFICATION OF SMOKING STATUS IN THE CARDIA STUDY - A COMPARISON OF SELF-REPORT WITH SERUM COTININE LEVELS,"WAGENKNECHT, LE; BURKE, GL; PERKINS, LL; HALEY, NJ; FRIEDMAN, GD",,,,AMERICAN JOURNAL OF PUBLIC HEALTH,JAN 1992,1992,82,1,,,,33,36,,10.2105/AJPH.82.1.33,,,300,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,11,14,16,19,14,6,12,13,12,12,13,10,14,11,15,9,4,9,10,15,8,10,7,6,9,6,0
Racial Differences in Incident Heart Failure among Young Adults,"Bibbins-Domingo, Kirsten; Pletcher, Mark J.; Lin, Feng; Vittinghoff, Eric; Gardin, Julius M.; Arynchyn, Alexander; Lewis, Cora E.; Williams, O. Dale; Hulley, Stephen B.",,,,NEW ENGLAND JOURNAL OF MEDICINE,MAR 19 2009,2009,360,12,,,,1179,1190,,10.1056/NEJMoa0807265,,,294,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,28,29,23,24,26,31,26,30,28,17,0
"Socioeconomic status, race, and diurnal cortisol decline in the Coronary Artery Risk Development in Young Adults (CARDIA) Study","Cohen, S; Schwartz, JE; Epel, E; Kirschbaum, C; Sidney, S; Seeman, T",,,,PSYCHOSOMATIC MEDICINE,JAN-FEB 2006,2006,68,1,,,,41,50,,10.1097/01.psy.0000195967.51768.ea,,,265,17.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,15,8,24,19,29,25,20,24,23,25,19,14,9,0
Blood pressure reactivity to psychological stress predicts hypertension in the CARDIA study,"Matthews, KA; Katholi, CR; McCreath, H; Whooley, MA; Williams, DR; Zhu, S; Markovitz, JH",,,,CIRCULATION,JUL 6 2004,2004,110,1,,,,74,78,,10.1161/01.CIR.0000133415.37578.E4,,,258,15.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,25,15,11,17,21,25,22,17,14,16,19,15,12,10,11,0
Fast Food Restaurants and Food Stores Longitudinal Associations With Diet in Young to Middle-aged Adults: The CARDIA Study,"Boone-Heinonen, Janne; Gordon-Larsen, Penny; Kiefe, Catarina I.; Shikany, James M.; Lewis, Cora E.; Popkin, Barry M.",,,,ARCHIVES OF INTERNAL MEDICINE,JUL 11 2011,2011,171,13,,,,1162,1170,,10.1001/archinternmed.2011.283,,,247,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,34,26,49,32,27,18,21,10,0
Do depression symptoms predict early hypertension incidence in young adults in the CARDIA study?,"Davidson, K; Jonas, BS; Dixon, KE; Markovitz, JH",,,,ARCHIVES OF INTERNAL MEDICINE,MAY 22 2000,2000,160,10,,,,1495,1500,,10.1001/archinte.160.10.1495,,,244,11.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,15,13,11,12,15,11,18,22,17,14,11,6,12,8,12,7,15,10,0
Polymorphisms within the C-reactive protein (CRP) promoter region are associated with plasma CRP levels,"Carlson, CS; Aldred, SF; Lee, PK; Tracy, RP; Schwartz, SM; Rieder, M; Liu, KA; Williams, OD; Iribarren, C; Lewis, EC; Fornage, M; Boerwinkle, E; Gross, M; Jaquish, C; Nickerson, DA; Myers, RM; Siscovick, DS; Reiner, AP",,,,AMERICAN JOURNAL OF HUMAN GENETICS,JUL 2005,2005,77,1,,,,64,77,,10.1086/431366,,,242,15.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,29,38,39,19,19,17,12,10,10,5,9,4,4,2,0
Differential associations of fast food and restaurant food consumption with 3-y change in body mass index: the Coronary Artery Risk Development in Young Adults Study,"Duffey, Kiyah J.; Gordon-Larsen, Penny; Jacobs, David R., Jr.; Williams, O. Dale; Popkin, Barry M.",,,,AMERICAN JOURNAL OF CLINICAL NUTRITION,JAN 2007,2007,85,1,,,,201,208,,,,,237,16.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,19,16,25,23,21,22,19,20,17,18,15,6,0
"Asthma is associated with weight gain in females but not males, independent of physical activity","Beckett, WS; Jacobs, DR; Yu, XH; Iribarren, C; Williams, D",,,,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,DEC 1 2001,2001,164,11,,,,2045,2050,,10.1164/ajrccm.164.11.2004235,,,231,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,17,18,22,16,18,18,13,17,13,18,10,7,10,6,5,5,5,0
Psychosocial factors and risk of hypertension - The Coronary Artery Risk Development in Young Adults (CARDIA) study,"Yan, LJL; Liu, K; Matthews, KA; Daviglus, ML; Ferguson, TF; Kiefe, CI",,,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,OCT 22 2003,2003,290,16,,,,2138,2148,,10.1001/jama.290.16.2138,,,230,12.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,18,12,16,23,21,16,13,22,14,11,15,7,9,10,5,0
Serum Phosphorus Levels Associate with Coronary Atherosclerosis in Young Adults,"Foley, Robert N.; Collins, Allan J.; Herzog, Charles A.; Ishani, Areef; Kalra, Philip A.",,,,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,FEB 2009,2009,20,2,,,,397,404,,10.1681/ASN.2008020141,,,228,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,28,21,31,20,21,19,19,14,11,8,0
RACIAL-DIFFERENCES IN SERUM COTININE LEVELS AMONG SMOKERS IN THE CORONARY-ARTERY RISK DEVELOPMENT IN (YOUNG) ADULTS STUDY,"WAGENKNECHT, LE; CUTTER, GR; HALEY, NJ; SIDNEY, S; MANOLIO, TA; HUGHES, GH; JACOBS, DR",,,,AMERICAN JOURNAL OF PUBLIC HEALTH,SEP 1990,1990,80,9,,,,1053,1056,,10.2105/AJPH.80.9.1053,,,228,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,10,9,9,12,7,12,8,3,2,6,12,9,8,9,8,11,9,4,5,6,5,4,6,6,10,6,8,3,0
Association Between Sleep and Blood Pressure in Midlife The CARDIA Sleep Study,"Knutson, Kristen L.; Van Cauter, Eve; Rathouz, Paul J.; Yan, Lijing L.; Hulley, Stephen B.; Liu, Kiang; Lauderdale, Diane S.",,,,ARCHIVES OF INTERNAL MEDICINE,JUN 8 2009,2009,169,11,,,,1055,1061,,10.1001/archinternmed.2009.119,47th Annual Conference on Cardiovascular Disease Epidemiology and Prevention,"FEB 28-MAR 03, 2007",226,18.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,16,22,29,28,15,23,24,24,22,8,0
LONGITUDINAL CHANGES IN ADIPOSITY ASSOCIATED WITH PREGNANCY - THE CARDIA STUDY,"SMITH, DE; LEWIS, CE; CAVENY, JL; PERKINS, LL; BURKE, GL; BILD, DE",,,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JUN 8 1994,1994,271,22,,,,1747,1751,,10.1001/jama.271.22.1747,,,225,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,14,6,5,7,7,4,10,7,6,6,7,9,12,14,8,8,15,8,12,14,8,9,7,3,0
Self-reported experiences of racial discrimination and black-white differences in preterm and low-birthweight deliveries: The CARDIA study,"Mustillo, S; Krieger, N; Gunderson, EP; Sidney, S; McCreath, H; Kiefe, CI",,,,AMERICAN JOURNAL OF PUBLIC HEALTH,DEC 2004,2004,94,12,,,,2125,2131,,10.2105/AJPH.94.12.2125,,,222,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,13,9,22,12,19,20,12,9,16,14,16,16,15,12,0
Association between circulating oxidized low-density lipoprotein and incidence of the metabolic syndrome,"Holvoet, Paul; Lee, Duk-Hee; Steffes, Michael; Gross, Myron; Jacobs, David R., Jr.",,,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,MAY 21 2008,2008,299,19,,,,2287,2293,,10.1001/jama.299.19.2287,,,219,16.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,30,28,23,14,18,10,12,15,13,3,0
RELATIONSHIP OF CARDIOVASCULAR RISK-FACTORS TO ECHOCARDIOGRAPHIC LEFT-VENTRICULAR MASS IN HEALTHY-YOUNG BLACK-AND-WHITE ADULT MEN AND WOMEN - THE CARDIA STUDY,"GARDIN, JM; WAGENKNECHT, LE; ANTONCULVER, H; FLACK, J; GIDDING, S; KUROSAKI, T; WONG, ND; MANOLIO, TA",,,,CIRCULATION,AUG 1 1995,1995,92,3,,,,380,387,,10.1161/01.CIR.92.3.380,,,218,8.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,8,12,6,8,13,8,9,8,6,11,10,8,15,11,6,6,15,19,3,11,5,5,4,0
Low Dose of Some Persistent Organic Pollutants Predicts Type 2 Diabetes: A Nested Case-Control Study,"Lee, Duk-Hee; Steffes, Michael W.; Sjoedin, Andreas; Jones, Richard S.; Needham, Larry L.; Jacobs, David R., Jr.",,,,ENVIRONMENTAL HEALTH PERSPECTIVES,SEP 2010,2010,118,9,,,,1235,1242,,10.1289/ehp.0901480,,,212,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,31,26,24,23,29,14,24,16,10,0
IDENTIFICATION OF 34 APOLIPOPROTEIN(A) ISOFORMS - DIFFERENTIAL EXPRESSION OF APOLIPOPROTEIN(A) ALLELES BETWEEN AMERICAN BLACKS AND WHITES,"MARCOVINA, SM; ZHANG, ZH; GAUR, VP; ALBERS, JJ",,,,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,MAR 31 1993,1993,191,3,,,,1192,1196,,10.1006/bbrc.1993.1343,,,211,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,23,21,16,19,22,11,11,8,10,9,4,5,3,4,2,2,1,4,1,3,0,2,2,3,4,2,0
