Grant_Numbers,records,percent_of_total
HL081587,2,0.007
HL082610,2,0.007
HL083947,2,0.007
HL084099,2,0.007
HL085251,2,0.007
HL085710,2,0.007
HL087647,2,0.007
HL089850,2,0.007
HL090864,2,0.007
HL090875,2,0.007
HL091443,2,0.007
HL092030,2,0.007
HL093220,2,0.007
HL094717,2,0.007
HL095701,2,0.007
HL095987,2,0.007
HL096814,2,0.007
HL096899,2,0.007
HL096902,2,0.007
HL096917,2,0.007
HL098445,2,0.007
HL098445-05,2,0.007
HL103612,2,0.007
HL107314,2,0.007
HL114595,2,0.007
HL114676,2,0.007
HL119145,2,0.007
HL121230,2,0.007
HL122328,2,0.007
HL125215,2,0.007
HL125486,2,0.007
HL127564,2,0.007
HL130847,2,0.007
HL131531,2,0.007
HL134808,2,0.007
HL137647,2,0.007
HL1430820,2,0.007
HL15103,2,0.007
HL26490,2,0.007
HL28972,2,0.007
HL30568,2,0.007
HL32318,2,0.007
HL33009,2,0.007
HL34595,2,0.007
HL35189,2,0.007
HL35261,2,0.007
HL35788,2,0.007
HL38712,2,0.007
HL42325,2,0.007
HL43201,2,0.007
HL44413,2,0.007
HL45057,2,0.007
HL45522,2,0.007
HL47317,2,0.007
HL47321,2,0.007
HL47323,2,0.007
HL47327,2,0.007
HL47337,2,0.007
HL47388,2,0.007
HL48363,2,0.007
HL48941,2,0.007
HL49086,2,0.007
HL49427,2,0.007
HL49505,2,0.007
HL49762,2,0.007
HL50426,2,0.007
HL51021,2,0.007
HL51736,2,0.007
HL51980,2,0.007
HL54457,2,0.007
HL56345,2,0.007
HL58555,2,0.007
HL59699,2,0.007
HL60692,2,0.007
HL60894,2,0.007
HL60931-02,2,0.007
HL60944-02,2,0.007
HL61019-02,2,0.007
HL61322,2,0.007
HL62394,2,0.007
HL64108,2,0.007
HL65082,2,0.007
HL65962,2,0.007
HL67459,2,0.007
HL67894,2,0.007
HL67902,2,0.007
HL67964,2,0.007
HL68041,2,0.007
HL69170,2,0.007
HL69979-03,2,0.007
HL71039,2,0.007
HL72403,2,0.007
HL73366,2,0.007
HL74745,2,0.007
HL75794,2,0.007
HL81290,2,0.007
HM15C0995,2,0.007
HSN268200625226C,2,0.007
HSN268201300026C,2,0.007
HSN275201100002I,2,0.007
HSRD IIR 07-138,2,0.007
HTA 96/20/99,2,0.007
HUST2016YXZD044,2,0.007
Health-2013-INNOVATION-1-602757,2,0.007
I01 CX000412,2,0.007
I01BX007080,2,0.007
ICA-CL-2017-03-001,2,0.007
ID 324724,2,0.007
IGE01014,2,0.007
IGE5007,2,0.007
III41022,2,0.007
III41025,2,0.007
IK2CX000772,2,0.007
IK6 RX002477,2,0.007
INCA 600398,2,0.007
IP 016213,2,0.007
IRG-16-191-33,2,0.007
JCYJ 20170302143855721,2,0.007
JCYJ 20170412110537191,2,0.007
JP16K09103,2,0.007
JSGG20160229173428526,2,0.007
K01 AG029381,2,0.007
K01 DA 026993,2,0.007
K01 DA015396,2,0.007
K01 DA030449,2,0.007
K01 HD047122,2,0.007
K01 HL073249,2,0.007
K01 HL088723-01,2,0.007
K01 HL127278,2,0.007
K01 MH072837,2,0.007
K01 MH074092,2,0.007
K01 MH077687,2,0.007
K01 MH087242,2,0.007
K01 MH092526,2,0.007
K01 NR015494,2,0.007
K01-AG029381,2,0.007
K01-AG044462,2,0.007
K01-CA172717,2,0.007
K01-DK-095928,2,0.007
K01-ES015877,2,0.007
K01-HL084700,2,0.007
K01-HL127159,2,0.007
K01AA021145,2,0.007
K01AG034259,2,0.007
K01AG047280,2,0.007
K01DA036681,2,0.007
K01DK067207,2,0.007
K01DK095928,2,0.007
K01HD067318,2,0.007
K01HD067390,2,0.007
K01HL103199,2,0.007
K01HL115494,2,0.007
K01HL133416,2,0.007
K02-DA021304,2,0.007
K02-ES-019878,2,0.007
K02HL-114749,2,0.007
K02HL114749,2,0.007
K05CA124415,2,0.007
K05CA154337,2,0.007
K07 CA104231,2,0.007
K07 CA154862,2,0.007
K07 CA154862-01,2,0.007
K07 CA190529,2,0.007
K07 CA66185,2,0.007
K0700768,2,0.007
K07AG052685,2,0.007
K08 AG03575,2,0.007
K08 AG047903,2,0.007
K08 DA017145,2,0.007
K08 HL04187,2,0.007
K08 HL077499,2,0.007
K08 HL081385,2,0.007
K08 HL112961,2,0.007
K08-AA00276,2,0.007
K08-MH070627,2,0.007
K08DK092287,2,0.007
K08DK117068,2,0.007
K08HL112961,2,0.007
K08MH112773,2,0.007
K12 HD052023,2,0.007
K12 HL083786,2,0.007
K12 HL119997,2,0.007
K12-HD01441,2,0.007
K12-HL083790,2,0.007
K12DK094721,2,0.007
K12HD043441,2,0.007
K12HD051958,2,0.007
K12HD052163,2,0.007
K2005-27X-15428-01A,2,0.007
K2010-55X-11285-13,2,0.007
K22 CA96556,2,0.007
K22-DE-15317,2,0.007
K23 A166943,2,0.007
K23 AG028452,2,0.007
K23 AI 66943,2,0.007
K23 AR071500,2,0.007
K23 DA015487,2,0.007
K23 DK002724,2,0.007
K23 DK083440,2,0.007
K23 DK087859,2,0.007
K23 DK094820,2,0.007
K23 DK099238,2,0.007
K23 HL 094531-01,2,0.007
K23 HL079343-01A2,2,0.007
K23 HL091508,2,0.007
K23 HL094531,2,0.007
K23 HL098359,2,0.007
K23 HL106231,2,0.007
K23 HL118318,2,0.007
K23 HL123341,2,0.007
K23 HL127334,2,0.007
K23 HL130627,2,0.007
K23 HL136891,2,0.007
K23 MH064619,2,0.007
K23 MH086690,2,0.007
K23 MH115184,2,0.007
K23 NS 073104,2,0.007
K23-AI 66943,2,0.007
K23-DA-15487,2,0.007
K23-DK103918,2,0.007
K23-HL-130627,2,0.007
K23-HL074077-01,2,0.007
K23-HL127099,2,0.007
K23DK095949,2,0.007
K23DK099422,2,0.007
K23DK103963,2,0.007
K23DK106520,2,0.007
K23ES022242,2,0.007
K23HD051585,2,0.007
K23HD069520-01A1,2,0.007
K23HL083350,2,0.007
K23HL083350-01A1,2,0.007
K23HL093354,2,0.007
K23HL096832,2,0.007
K23HL105887,2,0.007
K23HL111771,2,0.007
K23HL112907,2,0.007
K23HL114724,2,0.007
K23HL118318,2,0.007
K23HL122361-01A1,2,0.007
K23HL12247,2,0.007
K23HL125939,2,0.007
K23HL125991,2,0.007
K23HL133438,2,0.007
K24 AG00930,2,0.007
K24 AG052573,2,0.007
K24 AI056933,2,0.007
K24 AI56933,2,0.007
K24 AR066109,2,0.007
K24 AT000057,2,0.007
K24 DA016388,2,0.007
K24 DK 02643,2,0.007
K24 DK 02759,2,0.007
K24 DK071933,2,0.007
K24 DK071933-01,2,0.007
K24 DK078772,2,0.007
K24 DK098311,2,0.007
K24 DK103992,2,0.007
K24 DK62222,2,0.007
K24 ES013195,2,0.007
K24 HD043659,2,0.007
K24 HL 093218,2,0.007
K24 HL068041-02,2,0.007
K24 HL068041-08,2,0.007
K24 HL083113,2,0.007
K24 HL096141,2,0.007
K24 HL138188,2,0.007
K24 MH070446,2,0.007
K24-DK091419,2,0.007
K24-DK101828,2,0.007
K24AG031155,2,0.007
K24DK082730,2,0.007
K24DK093723,2,0.007
K24DK105989,2,0.007
K24HL083113,2,0.007
K24HL105780,2,0.007
K24HL112827,2,0.007
K24HL124366,2,0.007
K24MH072712,2,0.007
K24RR017593-01,2,0.007
K99-DK-081350,2,0.007
K99/R00 HL 109247,2,0.007
K99HL098459,2,0.007
K99HL109247,2,0.007
K99MD012615,2,0.007
KE252/ELKE/HUA,2,0.007
KJ2011A158,2,0.007
KL2 RR024136-03,2,0.007
KL2 RR624130,2,0.007
KL2 TR000113,2,0.007
KL2 TR000143,2,0.007
KL2 TR000450,2,0.007
KL2-TR001109,2,0.007
KL2RR024130,2,0.007
KL2RR024994,2,0.007
KL2TR000440,2,0.007
KL2TR000455,2,0.007
KL2TR001077,2,0.007
KMU-EM-98-4-2,2,0.007
KR 1187/5-4,2,0.007
KU 1401/4-1,2,0.007
KU 1401/4-2,2,0.007
L30 DK089597,2,0.007
L30HL093896,2,0.007
L60 MD001295,2,0.007
L60 MD002605,2,0.007
LAB 93951,2,0.007
LBH-Z11060,2,0.007
LM009012,2,0.007
LM011360,2,0.007
LO 1730/2-1,2,0.007
LP0455453,2,0.007
LP0776879,2,0.007
LQ13H260002,2,0.007
LSHG-CT-2006-018947,2,0.007
LSHM-CT-2006-037093,2,0.007
LSHM-CT-2007-037273,2,0.007
M01 RR 00030-32,2,0.007
M01 RR 00051,2,0.007
M01 RR 00052,2,0.007
M01 RR 00054,2,0.007
M01 RR 00083,2,0.007
M01 RR 00585,2,0.007
M01 RR 00636,2,0.007
M01 RR-00071,2,0.007
M01 RR-00095,2,0.007
M01 RR000040,2,0.007
M01 RR000055,2,0.007
M01 RR000079,2,0.007
M01 RR00036,2,0.007
M01 RR000425,2,0.007
M01 RR00048,2,0.007
M01 RR00054,2,0.007
M01 RR001066,2,0.007
M01 RR001271,2,0.007
M01 RR002635,2,0.007
M01 RR007122-130204,2,0.007
M01 RR007122-140204,2,0.007
M01 RR007122-150204,2,0.007
M01 RR023942,2,0.007
M01 RR02635,2,0.007
M01 RR16500,2,0.007
M01-RR-00037,2,0.007
M01-RR-00052,2,0.007
M01-RR-00071,2,0.007
M01-RR-00079,2,0.007
M01-RR-00083,2,0.007
M01-RR-00084,2,0.007
M01-RR-00997,2,0.007
M01-RR-01346,2,0.007
M01-RR-10732,2,0.007
M01-RR-43,2,0.007
M01-RR000052,2,0.007
M01-RR00064,2,0.007
M01-RR00069,2,0.007
M01-RR00070,2,0.007
M01-RR00084,2,0.007
M01-RR00188,2,0.007
M01-RR00636,2,0.007
M01-RR00750,2,0.007
M01-RR00827,2,0.007
M01-RR01066,2,0.007
M01-RR02558,2,0.007
M01-RR02635,2,0.007
M01-RR03186,2,0.007
M01-RR06192,2,0.007
M0100032,2,0.007
M01RR 08084,2,0.007
M01RR000052,2,0.007
M01RR000056,2,0.007
M01RR00039,2,0.007
M01RR00073,2,0.007
M01RR00080,2,0.007
M01RR00585,2,0.007
M01RR01346,2,0.007
M01RR02635,2,0.007
M10642120002-06N4212-00210,2,0.007
MA/21/61,2,0.007
MC00001,2,0.007
MCT-71979,2,0.007
MC_U105260792,2,0.007
MC_U120061305,2,0.007
MC_U120063239,2,0.007
MC_U123092720,2,0.007
MC_U123092725,2,0.007
MC_U127561128,2,0.007
MC_U130059818,2,0.007
MC_U147585824,2,0.007
MC_UP_12015/6,2,0.007
MC_UP_A620_1015,2,0.007
MC_US_A540_0056,2,0.007
MC_US_A540_0080,2,0.007
MC_UU_00011/6,2,0.007
MC_UU_12013/6,2,0.007
MC_UU_12015/2,2,0.007
MC_UU_12017/13,2,0.007
MC_UU_12019/5,2,0.007
MH-51415,2,0.007
MH-57425,2,0.007
MH01708,2,0.007
MH056630,2,0.007
MH057005,2,0.007
MH070627,2,0.007
MH071944,2,0.007
MH075625,2,0.007
MH078105,2,0.007
MH078152,2,0.007
MH078995,2,0.007
MH079369,2,0.007
MH082729,2,0.007
MH088283,2,0.007
MH092526,2,0.007
MH097293,2,0.007
MH099211,2,0.007
MH101107,2,0.007
MH102890,2,0.007
MH48085,2,0.007
MH48165,2,0.007
MH57761,2,0.007
MH59490,2,0.007
MH62669,2,0.007
MH63671,2,0.007
MH63970,2,0.007
MH6610101,2,0.007
MO1 RR 00043,2,0.007
MO1 RR00069,2,0.007
MO1-RR-00084,2,0.007
MO1-RR00400,2,0.007
MO1RR00037,2,0.007
MO1RR01032,2,0.007
MOHW108-TDU-B-212-133004,2,0.007
MOP 102560,2,0.007
MOP 79456,2,0.007
MOP-84206,2,0.007
MOP125934,2,0.007
MOP81239,2,0.007
MOP86471,2,0.007
MOST 103-2313-B-008-MY3,2,0.007
MOST 104-2314-B-303-013-MY3,2,0.007
MOST 104-2325-B-039-005,2,0.007
MOST107-2320-B-038-010-MY3,2,0.007
MR/K01711X/1,2,0.007
MR/K020218/1,2,0.007
MR/K023233/1,2,0.007
MR/K025147/1,2,0.007
MR/L002477/1,2,0.007
MR/L014815/1,2,0.007
MR/L01629X/1,2,0.007
MR/L02019X/1,2,0.007
MR/M012190/1,2,0.007
MR/M016560/1,2,0.007
MR/N015177/1,2,0.007
MR/N015959/1,2,0.007
MRC_MC_UU_12019/5,2,0.007
MSH-130162,2,0.007
MSH95353,2,0.007
N.1-AG-1-1,2,0.007
N.1-AG-1-2111,2,0.007
N0-HC-55023-26,2,0.007
N000141612841,2,0.007
N01 HC 95095,2,0.007
N01 HC 95159,2,0.007
N01 HC 95160,2,0.007
N01 HC 95161,2,0.007
N01 HC 95162,2,0.007
N01 HC 95163,2,0.007
N01 HC 95164,2,0.007
N01 HC 95165,2,0.007
N01 HC-48048,2,0.007
N01 HC025197,2,0.007
N01 HC055020,2,0.007
N01 HC055021,2,0.007
N01 HC055022,2,0.007
N01 HC085079,2,0.007
N01 HC095167,2,0.007
N01 HC095168,2,0.007
N01 HC48047,2,0.007
N01 HC48048,2,0.007
N01 HC48049,2,0.007
N01 HC55015,2,0.007
N01 HC55016,2,0.007
N01 HC55018,2,0.007
N01 HC55019,2,0.007
N01 HC55020,2,0.007
N01 HC55021,2,0.007
N01 HC55022,2,0.007
N01 HC65235,2,0.007
N01 HV068164,2,0.007
N01-CN-05228,2,0.007
N01-CO-12400,2,0.007
N01-DK-6-2220,2,0.007
N01-HB-72982,2,0.007
N01-HB-72991,2,0.007
N01-HB-72992,2,0.007
N01-HB-72993,2,0.007
N01-HB-72995,2,0.007
N01-HB-72996,2,0.007
N01-HB-72997,2,0.007
N01-HB-72998,2,0.007
N01-HB-73000,2,0.007
N01-HB-73001,2,0.007
N01-HB-73002,2,0.007
N01-HB-73003,2,0.007
N01-HB-73004,2,0.007
N01-HB-73005,2,0.007
N01-HB-97051,2,0.007
N01-HB-97053,2,0.007
N01-HB-97054,2,0.007
N01-HB-97056,2,0.007
N01-HB-97058,2,0.007
N01-HB-97060,2,0.007
N01-HB-97061,2,0.007
N01-HB-97064,2,0.007
N01-HB-97066,2,0.007
N01-HB-97068,2,0.007
N01-HB-97069,2,0.007
N01-HB-97070,2,0.007
N01-HB-97071,2,0.007
N01-HB-97072,2,0.007
N01-HB-97073,2,0.007
N01-HB-97085,2,0.007
N01-HC 48050,2,0.007
N01-HC 55015,2,0.007
N01-HC 95100,2,0.007
N01-HC 95159,2,0.007
N01-HC 95160,2,0.007
N01-HC 95161,2,0.007
N01-HC 95162,2,0.007
N01-HC 95163,2,0.007
N01-HC 95164,2,0.007
N01-HC 95165,2,0.007
N01-HC 95166,2,0.007
N01-HC 95167,2,0.007
N01-HC 95168,2,0.007
N01-HC 95169,2,0.007
N01-HC-048049,2,0.007
N01-HC-4805,2,0.007
N01-HC-55017,2,0.007
N01-HC-87079,2,0.007
N01-HC38038,2,0.007
N01-HC55021,2,0.007
N01-HC85084,2,0.007
N01-HC95159,2,0.007
N01-HC95161,2,0.007
N01-HG-65403,2,0.007
N01-HL25195,2,0.007
N01-HR-16048,2,0.007
N01-HV-1-2243,2,0.007
N01-HV-1-98112,2,0.007
N01-HV-48048,2,0.007
N01-PC-35136,2,0.007
N01-RC-37004,2,0.007
N01AG2103,2,0.007
N01AG62103,2,0.007
N01HC-48047,2,0.007
N01HC45205,2,0.007
N01HC65235,2,0.007
N01HR76101,2,0.007
N01HR76102,2,0.007
N01HR76103,2,0.007
N01HR76104,2,0.007
N01HR76105,2,0.007
N01HR76106,2,0.007
N01HR76107,2,0.007
N01HR76108,2,0.007
N01HR76109,2,0.007
N01HR76110,2,0.007
N01HR76111,2,0.007
N01HR76112,2,0.007
N01HR76113,2,0.007
N01HR76114,2,0.007
N01HR76115,2,0.007
N01HR76116,2,0.007
N01HR76118,2,0.007
N01HR76119,2,0.007
N01HV68162,2,0.007
N01HV68163,2,0.007
N02HL64278,2,0.007
N0I-HC-38038,2,0.007
NCET-08-0566,2,0.007
NCI 1K07CA124905,2,0.007
NCI RO1 CA055069,2,0.007
NCKUH-10102036,2,0.007
NCRR M01-RR-00997,2,0.007
NCRR/GCRC 5M01 RR00056,2,0.007
NF-SI-0508-10112,2,0.007
NF-SI-0508-10356,2,0.007
NF-SI-0513-10029,2,0.007
NF-SI-0515-10042,2,0.007
NF-SI-0611-10084,2,0.007
NHF 100409,2,0.007
NHLBI-HC-11-08,2,0.007
NHLBI-N01-HC25195,2,0.007
NHRI-CN-PD9611P,2,0.007
NHRI-EX98-9838PI,2,0.007
NHS2007B083,2,0.007
NIA320312,2,0.007
NIAMS K23AR062099,2,0.007
NIAU01AG009740,2,0.007
NIH 2K12HD051958,2,0.007
NIH 2R01 HL071759,2,0.007
NIH HL 46380,2,0.007
NIH UL1TR000005,2,0.007
NIHR-HCS-D13-04-006,2,0.007
NMRC CIRG/1371/2013,2,0.007
NMRC TA/0027/2014,2,0.007
NMRC/CNIG/1114/2013,2,0.007
NMRC/STaR/0011/2012,2,0.007
NMRC/STaR/016/2013,2,0.007
NMRC/TCR/012-NUHS/2014,2,0.007
NNF11OC1014855,2,0.007
NNF12OC1016167,2,0.007
NNF14OC0009875,2,0.007
NNF15OC0015922,2,0.007
NO1-HC-95166,2,0.007
NO1-HC-95167,2,0.007
NO1-HC48049,2,0.007
NO1-HR-16045,2,0.007
NO1-HR-16046,2,0.007
NO1-HR-16047,2,0.007
NO1-HR-16048,2,0.007
NO1-HR-16049,2,0.007
NO1-HR-16050,2,0.007
NO1-HR-16051,2,0.007
NO1-HR-16052,2,0.007
NORA FY08 CRN SLB8,2,0.007
NORTE-01-0145-FEDER-000003,2,0.007
NR 9164,2,0.007
NR-04281,2,0.007
NR01-01691-05,2,0.007
NR010813,2,0.007
NR01837,2,0.007
NRF-2014R1A1A1002736,2,0.007
NRF-2017R1A1A3A04069759,2,0.007
NRF2016R1D1A1B03931307,2,0.007
NSC 101-2314-B-002-184-MY3,2,0.007
NSC 101-2314-B-303 -023 -MY3,2,0.007
NSC-100-2313-B-415-003-MY3,2,0.007
NSC102-2314-B-002-046-MY3,2,0.007
NSC96-2314-B-037-040-MY3,2,0.007
NSERC-CRDJP 385597-09,2,0.007
NWO-RFBR 047.017.043,2,0.007
OH009803,2,0.007
OOP-64648,2,0.007
P01 AG011412,2,0.007
P01 AG023394,2,0.007
P01 AG031720,2,0.007
P01 AG1891,2,0.007
P01 CA089392,2,0.007
P01 DK038226,2,0.007
P01 ES009605,2,0.007
P01 ES022832,2,0.007
P01 HD030367,2,0.007
P01 HD31921,2,0.007
P01 HD39667,2,0.007
P01 HL 42242,2,0.007
P01 HL 69999,2,0.007
P01 HL058120,2,0.007
P01 HL072262,2,0.007
P01 HL076491,2,0.007
P01 HL077670,2,0.007
P01 HL083069,2,0.007
P01 HL105339,2,0.007
P01 HL47540,2,0.007
P01 HL56693,2,0.007
P01 HL69999,2,0.007
P01 HS10854,2,0.007
P01 MH059876,2,0.007
P01-DK42618,2,0.007
P01-HD28076,2,0.007
P01-HL047540-19S1,2,0.007
P01-HL055798,2,0.007
P01-HL077378,2,0.007
P01-HL088093,2,0.007
P0117943,2,0.007
P01AG009975,2,0.007
P01ES009581,2,0.007
P01ES009584,2,0.007
P01HD-048721,2,0.007
P01HD052112,2,0.007
P01HL40962,2,0.007
P11/02505,2,0.007
P12-CTS-2722,2,0.007
P20 CA221696,2,0.007
P20 CA221697,2,0.007
P20 GM103527,2,0.007
P20 MD000182,2,0.007
P20 MD003938,2,0.007
P20 MD006737,2,0.007
P20 RR 024215,2,0.007
P20 RR11104,2,0.007
P20-GM-113125,2,0.007
P20-MD000516,2,0.007
P20-RR11145,2,0.007
P20CA221696,2,0.007
P20CA221697,2,0.007
P20GM103474,2,0.007
P20GM113134,2,0.007
P20GM113226,2,0.007
P20HL113452,2,0.007
P27/2011,2,0.007
P2C HD041025,2,0.007
P2C HD047873,2,0.007
P2C HD066613,2,0.007
P2CHD050924,2,0.007
P30 AA05595,2,0.007
P30 AG010124,2,0.007
P30 AG010129,2,0.007
P30 AG012836,2,0.007
P30 AG021332,2,0.007
P30 AG021684,2,0.007
P30 AG10133,2,0.007
P30 AG15272,2,0.007
P30 AG17265,2,0.007
P30 AG17266,2,0.007
P30 AI028697,2,0.007
P30 AI36219,2,0.007
P30 AI50410,2,0.007
P30 AI54999,2,0.007
P30 AR053483,2,0.007
P30 CA006927,2,0.007
P30 CA68485,2,0.007
P30 DA013868,2,0.007
P30 DA016383,2,0.007
P30 DA023026,2,0.007
P30 DK020579,2,0.007
P30 DK020595,2,0.007
P30 DK035816,2,0.007
P30 DK040561-13,2,0.007
P30 DK040561-14,2,0.007
P30 DK056341,2,0.007
P30 DK056341-08,2,0.007
P30 DK092926,2,0.007
P30 DK097512,2,0.007
P30 DK48520,2,0.007
P30 ES 020957,2,0.007
P30 ES000260,2,0.007
P30 ES05707,2,0.007
P30 NR009000,2,0.007
P30 NR011400,2,0.007
P30-AG-024827,2,0.007
P30-AG15281,2,0.007
P30-AG17265,2,0.007
P30-CA023100,2,0.007
P30-DK-092949,2,0.007
P30-DK092924,2,0.007
P30-DK56350,2,0.007
P30-ES010126,2,0.007
P30-ES01896,2,0.007
P30-HD05798,2,0.007
P30-MH43520,2,0.007
P30-NR03924,2,0.007
P30AG021332,2,0.007
P30AG021684,2,0.007
P30AG031679,2,0.007
P30AG10133,2,0.007
P30AI094189,2,0.007
P30CA22453,2,0.007
P30DA012393,2,0.007
P30DA016383,2,0.007
P30DA027827,2,0.007
P30DK036836,2,0.007
P30DK056350-05S2,2,0.007
P30DK079328,2,0.007
P30DK079626,2,0.007
P30DK092924,2,0.007
P30DK092986,2,0.007
P30DK26687,2,0.007
P30DK56336,2,0.007
P30ES000002,2,0.007
P30ES000260,2,0.007
P30ES23515,2,0.007
P30GM106391,2,0.007
P30HD15052,2,0.007
P30HL101859,2,0.007
P30MH058107,2,0.007
P30MH062294,2,0.007
P30NR011400,2,0.007
P30NS057091,2,0.007
P41RR008079,2,0.007
P50 AA005595,2,0.007
P50 AA024333,2,0.007
P50 AG005133,2,0.007
P50 AG005136,2,0.007
P50 AG005138,2,0.007
P50 AG023501,2,0.007
P50 AG044170,2,0.007
P50 AG44170,2,0.007
P50 AT002782,2,0.007
P50 CA 148596,2,0.007
P50 CA111236,2,0.007
P50 CA180907,2,0.007
P50 CA84718,2,0.007
P50 DA009253,2,0.007
P50 ES 09600,2,0.007
P50 ES012395,2,0.007
P50 ES09600,2,0.007
P50 HL083813,2,0.007
P50 HL105188,2,0.007
P50-CA105641,2,0.007
P50-DA009241,2,0.007
P50-HD-057796,2,0.007
P50-HL105185,2,0.007
P50AA024337,2,0.007
P50AG005136,2,0.007
P50AG005146,2,0.007
P50AG008702,2,0.007
P50CA180890,2,0.007
P50DA036105,2,0.007
P50DA036114,2,0.007
P50DA09253,2,0.007
P50ES015905,2,0.007
P50HL105188,2,0.007
P60 AG012583,2,0.007
P60 AR048098,2,0.007
P60 AR48098,2,0.007
P60 MD000214-01,2,0.007
P60 MD000222,2,0.007
P60 MD000508,2,0.007
P60 MD002249-05,2,0.007
P60-AG12583,2,0.007
P60-DK-20595,2,0.007
P60MD006912,2,0.007
PA-DOH 4100038714,2,0.007
PCIG09-GA-2011-293621,2,0.007
PD-SPH-2015-10025,2,0.007
PDA/02/06/031,2,0.007
PF-HC95095,2,0.007
PG/03/029,2,0.007
PG/03/147,2,0.007
PG/05/036,2,0.007
PG/05/087,2,0.007
PG/08/094/26019,2,0.007
PG/09/022/26739,2,0.007
PG/09/039,2,0.007
PG/12/15/29442,2,0.007
PG/13/58/30397,2,0.007
PG/13/65/30440,2,0.007
PG08/008,2,0.007
PH 06H 2817,2,0.007
PH 11H6047,2,0.007
PHB-2005-0119-PC,2,0.007
PHILLI12A0,2,0.007
PI 05/2584,2,0.007
PI-0058/10,2,0.007
PI-0252/09,2,0.007
PI0105/2007,2,0.007
PI0137/2018,2,0.007
PI04-2239,2,0.007
PI042234,2,0.007
PI044504,2,0.007
PI05/1839,2,0.007
PI07-0954,2,0.007
PI071138,2,0.007
PI08-90002,2,0.007
PI08/0738,2,0.007
PI080782,2,0.007
PI081175,2,0.007
PI081381,2,0.007
PI09-1626,2,0.007
PI11/01900,2,0.007
PI11/02505,2,0.007
PI12/00803,2,0.007
PI14/00009,2,0.007
PI14/00728,2,0.007
PI15/00260,2,0.007
PI15/02019,2,0.007
PI151686,2,0.007
PI17/01814,2,0.007
PICT 2010-0441,2,0.007
PICT 2012-0159,2,0.007
PIE16/00021,2,0.007
PND2010/87,2,0.007
PNRF-228-AI-1/07,2,0.007
PO1 AG-11412,2,0.007
PO1 CA68384,2,0.007
POCI-01-0145-FEDER-007440,2,0.007
POIG 01.01.02-02-003/08-00,2,0.007
PR064727,2,0.007
PRE_2016_1_0057,2,0.007
PRG-4854,2,0.007
PROMETEO/2017/017,2,0.007
PS35-126/IND,2,0.007
PSI2009-11560,2,0.007
PSI2010-21743-C02-01,2,0.007
PSI2014-56680-R,2,0.007
PTDC/DES/098309/2008,2,0.007
PTDC/DES/101333/2008,2,0.007
PV41,2,0.007
Q.J130000.2545.20H36,2,0.007
QLG1-CT-2000-01643,2,0.007
QLK6-CT-2001-00258,2,0.007
QLRT-2002-02236,2,0.007
QML20171203,2,0.007
R.J130000.7845.4F764,2,0.007
R00 AG039528,2,0.007
R00 AG047282,2,0.007
R00 CA201542,2,0.007
R00 DE018739,2,0.007
R00 ES023450,2,0.007
R00 HL 109247,2,0.007
R00 HL089459,2,0.007
R00-HL-107642,2,0.007
R00HL107642,2,0.007
R01 53359,2,0.007
R01 74814,2,0.007
R01 AA012207,2,0.007
R01 AA016549,2,0.007
R01 AA019691,2,0.007
R01 AG 15982,2,0.007
R01 AG-023629,2,0.007
R01 AG-050455,2,0.007
R01 AG-10436,2,0.007
R01 AG-15928,2,0.007
R01 AG006945-13,2,0.007
R01 AG006945-14,2,0.007
R01 AG012161,2,0.007
R01 AG013196,2,0.007
R01 AG018903,2,0.007
R01 AG022537,2,0.007
R01 AG023347,2,0.007
R01 AG023627-01,2,0.007
R01 AG027002,2,0.007
R01 AG029148,2,0.007
R01 AG030424-01A2,2,0.007
R01 AG031790,2,0.007
R01 AG032227,2,0.007
R01 AG034853,2,0.007
R01 AG042164,2,0.007
R01 AG042595,2,0.007
R01 AG050595,2,0.007
R01 AG10760,2,0.007
R01 AG15982,2,0.007
R01 AI038216,2,0.007
R01 AI066367,2,0.007
R01 AR048797-01,2,0.007
R01 AR048797-02,2,0.007
R01 AR048797-03,2,0.007
R01 AR048797-04,2,0.007
R01 AR049747,2,0.007
R01 AR049747-04,2,0.007
R01 AR065944,2,0.007
R01 AR35582,2,0.007
R01 AR35583,2,0.007
R01 AR35584,2,0.007
R01 AT006694,2,0.007
R01 CA 89445,2,0.007
R01 CA-48998,2,0.007
R01 CA040360,2,0.007
R01 CA050385,2,0.007
R01 CA061757-10,2,0.007
R01 CA070731-04,2,0.007
R01 CA070867,2,0.007
R01 CA078552,2,0.007
R01 CA078762,2,0.007
R01 CA078802,2,0.007
R01 CA082729,2,0.007
R01 CA084063,2,0.007
R01 CA085846-04,2,0.007
R01 CA085846-05,2,0.007
R01 CA088958-06,2,0.007
R01 CA091912,2,0.007
R01 CA094594,2,0.007
R01 CA094845,2,0.007
R01 CA098286,2,0.007
R01 CA105204-01A1,2,0.007
R01 CA116778,2,0.007
R01 CA116795,2,0.007
R01 CA12115,2,0.007
R01 CA121152,2,0.007
R01 CA125116,2,0.007
R01 CA149051,2,0.007
R01 CA160245-01,2,0.007
R01 CA163451,2,0.007
R01 CA196953,2,0.007
R01 CA202936,2,0.007
R01 CA48993,2,0.007
R01 CA50385,2,0.007
R01 CA61757,2,0.007
R01 CA66539,2,0.007
R01 CA82729,2,0.007
R01 CA84950,2,0.007
R01 DA001411,2,0.007
