Organizations_Enhanced,records,percent_of_total
CHINESE ACADEMY OF MEDICAL SCIENCES PEKING UNION MEDICAL COLLEGE,128,0.423
UNIVERSITY OF GOTHENBURG,128,0.423
INDIANA UNIVERSITY BLOOMINGTON,127,0.42
UNIVERSITY OF CONNECTICUT,127,0.42
LOUISIANA STATE UNIVERSITY SYSTEM,126,0.417
UNIVERSITY OF CALIFORNIA LOS ANGELES MEDICAL CENTER,123,0.407
NATIONAL UNIVERSITY OF SINGAPORE,122,0.403
SAMSUNG MEDICAL CENTER,121,0.4
UNIVERSITY OF ALBERTA,121,0.4
MCMASTER UNIVERSITY,120,0.397
SHANGHAI JIAO TONG UNIVERSITY,120,0.397
UNIVERSITY OF CINCINNATI,119,0.393
PEKING UNIVERSITY,118,0.39
CINCINNATI CHILDREN S HOSPITAL MEDICAL CENTER,116,0.383
CEDARS SINAI MEDICAL CENTER,115,0.38
TAMPERE UNIVERSITY,115,0.38
UNIVERSITY OF BARCELONA,115,0.38
UNIVERSITY OF EASTERN FINLAND,115,0.38
UNIVERSITY OF KENTUCKY,115,0.38
LOYOLA UNIVERSITY CHICAGO,114,0.377
UNIVERSITY OF MILAN,112,0.37
CIBEROBN,111,0.367
LONDON SCHOOL OF HYGIENE TROPICAL MEDICINE,111,0.367
UNIVERSITY OF NAPLES FEDERICO II,111,0.367
UNIVERSITY OF OTTAWA,110,0.364
CITY UNIVERSITY OF NEW YORK CUNY SYSTEM,109,0.36
UMEA UNIVERSITY,109,0.36
CONSIGLIO NAZIONALE DELLE RICERCHE CNR,106,0.35
UPPSALA UNIVERSITY,106,0.35
MEDICAL UNIVERSITY OF SOUTH CAROLINA,105,0.347
YONSEI UNIVERSITY HEALTH SYSTEM,105,0.347
OREGON HEALTH SCIENCE UNIVERSITY,104,0.344
SHAHID BEHESHTI UNIVERSITY MEDICAL SCIENCES,104,0.344
UNIVERSITY OF ROCHESTER,104,0.344
UNIVERSITY OF TEXAS SCHOOL PUBLIC HEALTH,104,0.344
TUFTS MEDICAL CENTER,103,0.341
UNIVERSITY OF HAWAII SYSTEM,103,0.341
INSTITUTO DE SALUD CARLOS III,102,0.337
STATE UNIVERSITY OF NEW YORK SUNY STONY BROOK,102,0.337
TEL AVIV UNIVERSITY,102,0.337
LEIDEN UNIVERSITY,101,0.334
GEORGETOWN UNIVERSITY,100,0.331
KU LEUVEN,100,0.331
UNIVERSITY OF GEORGIA,100,0.331
ATHENS MEDICAL SCHOOL,98,0.324
TEHRAN UNIVERSITY OF MEDICAL SCIENCES,98,0.324
CAPITAL MEDICAL UNIVERSITY,97,0.321
GHENT UNIVERSITY,97,0.321
UNIVERSITY OF LAUSANNE,97,0.321
UNIVERSITY OF NEWCASTLE,96,0.317
UNIVERSITY OF VERONA,96,0.317
LIFESPAN HEALTH RHODE ISLAND,95,0.314
UNIVERSITY OF NAVARRA,95,0.314
UNIVERSITY OF SOUTH FLORIDA,95,0.314
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT,94,0.311
UNIVERSITY OF ADELAIDE,94,0.311
UNIVERSITY OF CALGARY,94,0.311
UNIVERSITY OF MARYLAND COLLEGE PARK,94,0.311
NIH NATIONAL INSTITUTE OF DIABETES DIGESTIVE KIDNEY DISEASES NIDDK,93,0.307
UNIVERSITY OF EDINBURGH,93,0.307
UNIVERSITY OF MISSOURI COLUMBIA,93,0.307
UNIVERSITY OF MUNICH,93,0.307
SACKLER FACULTY OF MEDICINE,91,0.301
SEOUL NATIONAL UNIVERSITY HOSPITAL,91,0.301
UNIVERSITY OF NEW MEXICO,91,0.301
UNIVERSITY OF TASMANIA,91,0.301
WAGENINGEN UNIVERSITY RESEARCH,91,0.301
NATIONAL TAIWAN UNIVERSITY,90,0.298
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN,90,0.298
SAPIENZA UNIVERSITY ROME,89,0.294
UNIVERSITY OF TEXAS HEALTH SAN ANTONIO,89,0.294
NIH EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH HUMAN DEVELOPMENT NICHD,88,0.291
UNIVERSITY OF NEW SOUTH WALES SYDNEY,88,0.291
UNIVERSITE PARIS SACLAY,87,0.288
UNIVERSITY OF MANCHESTER,87,0.288
UNIVERSITY OF SOUTHERN DENMARK,87,0.288
HUAZHONG UNIVERSITY OF SCIENCE TECHNOLOGY,86,0.284
NETHERLANDS NATIONAL INSTITUTE FOR PUBLIC HEALTH THE ENVIRONMENT,84,0.278
NEWYORK PRESBYTERIAN HOSPITAL,84,0.278
UNIVERSITY OF OULU,84,0.278
FU WAI HOSPITAL CAMS,83,0.274
HELMHOLTZ CENTER MUNICH GERMAN RESEARCH CENTER FOR ENVIRONMENTAL HEALTH,83,0.274
UNIVERSITY OF OKLAHOMA SYSTEM,83,0.274
KYUNGPOOK NATIONAL UNIVERSITY,82,0.271
LOUISIANA STATE UNIVERSITY,82,0.271
SKANE UNIVERSITY HOSPITAL,82,0.271
TAMPERE UNIVERSITY HOSPITAL,82,0.271
INRAE,81,0.268
UNIVERSITY OF OTAGO,81,0.268
MOUNT SINAI ST LUKE S,80,0.264
SUN YAT SEN UNIVERSITY,80,0.264
HELSINKI UNIVERSITY CENTRAL HOSPITAL,79,0.261
KAROLINSKA UNIVERSITY HOSPITAL,79,0.261
TEMPLE UNIVERSITY,79,0.261
CHILDREN S HOSPITAL COLORADO,78,0.258
GERIATRIC RESEARCH EDUCATION CLINICAL CENTER,78,0.258
SAHLGRENSKA UNIVERSITY HOSPITAL,78,0.258
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,78,0.258
UNIVERSITY OF TOKYO,78,0.258
DEUTSCHES INSTITUT FUR ERNAHRUNGSFORSCHUNG POTSDAM REHBRUCKE DIFE,77,0.255
MOUNT SINAI WEST,77,0.255
RUPRECHT KARLS UNIVERSITY HEIDELBERG,77,0.255
AUGUSTA UNIVERSITY,76,0.251
CIBERESP,76,0.251
PURDUE UNIVERSITY,76,0.251
PURDUE UNIVERSITY SYSTEM,76,0.251
RUTGERS STATE UNIVERSITY MEDICAL CENTER,76,0.251
UTMD ANDERSON CANCER CENTER,76,0.251
INDIANA UNIVERSITY PURDUE UNIVERSITY INDIANAPOLIS,75,0.248
MIRIAM HOSPITAL,75,0.248
UNIVERSITY OF PADUA,75,0.248
UNIVERSITY OF SOUTH AUSTRALIA,75,0.248
HEINRICH HEINE UNIVERSITY DUSSELDORF,74,0.245
UNIVERSITY HEALTH NETWORK TORONTO,74,0.245
BROAD INSTITUTE,73,0.241
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,73,0.241
HOPITAL UNIVERSITAIRE PITIE SALPETRIERE APHP,73,0.241
PENN STATE HEALTH,73,0.241
SAN FRANCISCO VA MEDICAL CENTER,73,0.241
UNIVERSIDADE DO PORTO,73,0.241
UNIVERSITY OF AUCKLAND,73,0.241
UNIVERSITY OF GRANADA,73,0.241
UNIVERSITY OF KANSAS,73,0.241
UNIVERSITY OF OKLAHOMA OKLAHOMA CITY,73,0.241
ISFAHAN UNIVERSITY MEDICAL SCIENCE,72,0.238
NATIONAL YANG MING UNIVERSITY,72,0.238
NEMOURS ALFRED I DUPONT HOSPITAL FOR CHILDREN,72,0.238
UNIVERSITY OF ZURICH,72,0.238
BAKER HEART AND DIABETES INSTITUTE,71,0.235
QUEENS UNIVERSITY CANADA,71,0.235
SAINT MICHAELS HOSPITAL TORONTO,71,0.235
ST GEORGES UNIVERSITY LONDON,71,0.235
TEXAS A M UNIVERSITY SYSTEM,71,0.235
WORLD HEALTH ORGANIZATION,71,0.235
LUNDQUIST INSTITUTE,70,0.231
UNIVERSITY OF BERGEN,70,0.231
UNIVERSITY OF SOUTHAMPTON,70,0.231
FONDATION I SITE ULNE,69,0.228
RIGSHOSPITALET,69,0.228
UNIVERSITY OF NEBRASKA SYSTEM,69,0.228
WEST VIRGINIA UNIVERSITY,69,0.228
WESTERN UNIVERSITY UNIVERSITY OF WESTERN ONTARIO,69,0.228
KOREA UNIVERSITY,68,0.225
UNIVERSITY OF LOUISVILLE,68,0.225
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,68,0.225
HOSPITAL CLINIC DE BARCELONA,67,0.221
JEFFERSON UNIVERSITY,67,0.221
TEXAS A M UNIVERSITY COLLEGE STATION,67,0.221
CENTRE HOSPITALIER UNIVERSITAIRE VAUDOIS CHUV,66,0.218
UNIVERSITY OF BERN,66,0.218
UNIVERSITY OF MASSACHUSETTS AMHERST,66,0.218
ARIZONA STATE UNIVERSITY TEMPE,65,0.215
CHILDRENS HOSPITAL OF PHILADELPHIA,65,0.215
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC,65,0.215
HOWARD UNIVERSITY,65,0.215
MOREHOUSE COLLEGE,65,0.215
UNIVERSITY OF TENNESSEE KNOXVILLE,65,0.215
ANN ROBERT H LURIE CHILDREN S HOSPITAL OF CHICAGO,64,0.212
CATHOLIC UNIVERSITY OF KOREA,64,0.212
CATHOLIC UNIVERSITY OF THE SACRED HEART,64,0.212
COLORADO SCHOOL OF PUBLIC HEALTH,64,0.212
FLORIDA STATE UNIVERSITY,64,0.212
UNIVERSITY OF ARKANSAS SYSTEM,64,0.212
UNIVERSITY OF HOUSTON,64,0.212
UNIVERSITY OF HOUSTON SYSTEM,64,0.212
CHINESE UNIVERSITY OF HONG KONG,63,0.208
UNIVERSITY OF LEEDS,63,0.208
MINNEAPOLIS HEART INSTITUTE FOUNDATION,62,0.205
NIH NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES NIEHS,62,0.205
UNIVERSITY OF GENEVA,62,0.205
VA BOSTON HEALTHCARE SYSTEM,62,0.205
AUTONOMOUS UNIVERSITY OF BARCELONA,61,0.202
OSAKA UNIVERSITY,61,0.202
SAINT LOUIS UNIVERSITY,61,0.202
VU UNIVERSITY MEDICAL CENTER,61,0.202
GERMAN CENTRE FOR CARDIOVASCULAR RESEARCH,60,0.198
MOREHOUSE SCHOOL OF MEDICINE,60,0.198
NEWCASTLE UNIVERSITY UK,60,0.198
UNIVERSITAT ROVIRA I VIRGILI,60,0.198
UNIVERSITY OF COLORADO BOULDER,60,0.198
UNIVERSITY OF VALENCIA,60,0.198
NORTH WEST UNIVERSITY SOUTH AFRICA,59,0.195
UNIVERSITY OF WITWATERSRAND,59,0.195
VA SAN DIEGO HEALTHCARE SYSTEM,59,0.195
ARIZONA STATE UNIVERSITY DOWNTOWN PHOENIX,58,0.192
DANA FARBER CANCER INSTITUTE,58,0.192
DARTMOUTH COLLEGE,58,0.192
HEBREW UNIVERSITY OF JERUSALEM,58,0.192
RAND CORPORATION,58,0.192
RESEARCH TRIANGLE INSTITUTE,58,0.192
TECHNICAL UNIVERSITY OF MUNICH,58,0.192
UNIVERSIDADE FEDERAL DE MINAS GERAIS,58,0.192
UNIVERSITY OF CAPE TOWN,58,0.192
UNIVERSITY OF HONG KONG,58,0.192
INSTITUT HOSPITAL DEL MAR D INVESTIGACIONS MEDIQUES IMIM,57,0.188
NORWEGIAN UNIVERSITY OF SCIENCE TECHNOLOGY NTNU,57,0.188
RADBOUD UNIVERSITY NIJMEGEN,57,0.188
UCL MEDICAL SCHOOL,57,0.188
UNITED STATES DEPARTMENT OF DEFENSE,57,0.188
UNIVERSIDADE FEDERAL DE SAO PAULO UNIFESP,57,0.188
UNIVERSITY OF KANSAS MEDICAL CENTER,57,0.188
UNIVERSITY OF PISA,57,0.188
UNIVERSITY OF TURIN,57,0.188
CHINESE ACADEMY OF SCIENCES,56,0.185
IDIBAPS,56,0.185
KOREA UNIVERSITY MEDICINE KU MEDICINE,56,0.185
MURDOCH CHILDREN S RESEARCH INSTITUTE,56,0.185
NATIONAL TAIWAN UNIVERSITY HOSPITAL,56,0.185
UNIVERSITY OF BASEL,56,0.185
UNIVERSITY OF HAMBURG,56,0.185
HENRY FORD HOSPITAL,55,0.182
MENZIES INSTITUTE FOR MEDICAL RESEARCH,55,0.182
NEW YORK STATE PSYCHIATRY INSTITUTE,55,0.182
ULM UNIVERSITY,55,0.182
UNIVERSITY OF MANITOBA,55,0.182
CHAIM SHEBA MEDICAL CENTER,54,0.179
HOSPITAL FOR SICK CHILDREN SICKKIDS,54,0.179
IRCCS POLICLINICO GEMELLI,54,0.179
MEDICAL COLLEGE OF WISCONSIN,54,0.179
SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER,54,0.179
UNIVERSITY OF BOLOGNA,54,0.179
ARISTOTLE UNIVERSITY OF THESSALONIKI,53,0.175
CENTRAL SOUTH UNIVERSITY,53,0.175
KUOPIO UNIVERSITY HOSPITAL,53,0.175
QUEEN MARY UNIVERSITY LONDON,53,0.175
STATE UNIVERSITY OF NEW YORK SUNY ALBANY,53,0.175
STOCKHOLM UNIVERSITY,53,0.175
TAIPEI MEDICAL UNIVERSITY,53,0.175
UNIVERSITY OF TEXAS DALLAS,53,0.175
UNIVERSITY OF ULSAN,53,0.175
FINNISH INSTITUTE OF OCCUPATIONAL HEALTH,52,0.172
HARVARD PILGRIM HEALTH CARE,52,0.172
SHIGA UNIVERSITY OF MEDICAL SCIENCE,52,0.172
UIT THE ARCTIC UNIVERSITY OF TROMSO,52,0.172
JACKSON STATE UNIVERSITY,51,0.169
JICHI MEDICAL UNIVERSITY,51,0.169
MEDICAL UNIVERSITY OF VIENNA,51,0.169
UNIVERSITY OF BONN,51,0.169
UNIVERSITY OF FLORENCE,51,0.169
UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON,51,0.169
GLAXOSMITHKLINE,50,0.165
SICHUAN UNIVERSITY,50,0.165
ZHEJIANG UNIVERSITY,50,0.165
CARNEGIE MELLON UNIVERSITY,49,0.162
NIH NATIONAL HUMAN GENOME RESEARCH INSTITUTE NHGRI,49,0.162
STATE UNIVERSITY OF NEW YORK SUNY DOWNSTATE MEDICAL CENTER,49,0.162
UNIVERSITY OF ALABAMA TUSCALOOSA,49,0.162
UNIVERSITY OF MILANO BICOCCA,49,0.162
UNIVERSITY OF PALERMO,49,0.162
UNIVERSITY OF WOLLONGONG,49,0.162
WASHINGTON STATE UNIVERSITY,49,0.162
FUDAN UNIVERSITY,48,0.159
IOWA STATE UNIVERSITY,48,0.159
MEDICAL RESEARCH COUNCIL UK MRC,48,0.159
TEXAS BIOMEDICAL RESEARCH INSTITUTE,48,0.159
TEXAS TECH UNIVERSITY SYSTEM,48,0.159
UNIVERSITE DE LILLE,48,0.159
CDC NATIONAL CENTER FOR HEALTH STATISTICS NCHS,47,0.155
FLOREY INSTITUTE OF NEUROSCIENCE MENTAL HEALTH,47,0.155
FLORIDA INTERNATIONAL UNIVERSITY,47,0.155
KYUSHU UNIVERSITY,47,0.155
MERCK COMPANY,47,0.155
UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,47,0.155
UNIVERSITY OF DELAWARE,47,0.155
VETERANS AFFAIRS MEDICAL CENTER BIRMINGHAM,47,0.155
GERMAN CANCER RESEARCH CENTER DKFZ,46,0.152
GUY S ST THOMAS NHS FOUNDATION TRUST,46,0.152
INSTITUTO NACIONAL DE SALUD PUBLICA,46,0.152
INTERNATIONAL AGENCY FOR RESEARCH ON CANCER IARC,46,0.152
MONTEFIORE MEDICAL CENTER,46,0.152
NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY HEALTH NIOSH,46,0.152
NORTHEASTERN UNIVERSITY,46,0.152
QUEENS UNIVERSITY BELFAST,46,0.152
SHANDONG UNIVERSITY,46,0.152
UNIVERSITY OF WARWICK,46,0.152
AUTONOMOUS UNIVERSITY OF MADRID,45,0.149
BOSTON MEDICAL CENTER,45,0.149
CANCER RESEARCH CENTER OF HAWAII,45,0.149
COLORADO STATE UNIVERSITY,45,0.149
FUNDACAO OSWALDO CRUZ,45,0.149
ISTITUTO DI FISIOLOGIA CLINICA IFC CNR,45,0.149
TEXAS TECH UNIVERSITY,45,0.149
UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES USA,45,0.149
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,45,0.149
ADDENBROOKE S HOSPITAL,44,0.145
IRCCS CA GRANDA OSPEDALE MAGGIORE POLICLINICO,44,0.145
IRCCS ISTITUTO AUXOLOGICO ITALIANO,44,0.145
KYUNG HEE UNIVERSITY,44,0.145
ODENSE UNIVERSITY HOSPITAL,44,0.145
TECHNISCHE UNIVERSITAT DRESDEN,44,0.145
TIANJIN MEDICAL UNIVERSITY,44,0.145
UNIVERSITE DE VERSAILLES SAINT QUENTIN EN YVELINES,44,0.145
UNIVERSITY COLLEGE DUBLIN,44,0.145
UNIVERSITY HOSPITAL OF BERN,44,0.145
UNIVERSITY OF NORTH TEXAS SYSTEM,44,0.145
VET AFFAIRS PUGET SOUND HEALTH CARE SYSTEM,44,0.145
COMPLUTENSE UNIVERSITY OF MADRID,43,0.142
EAST CAROLINA UNIVERSITY,43,0.142
HOWARD HUGHES MEDICAL INSTITUTE,43,0.142
OCHSNER HEALTH SYSTEM,43,0.142
SUNNYBROOK HEALTH SCIENCE CENTER,43,0.142
SUNNYBROOK RESEARCH INSTITUTE,43,0.142
UNIVERSITY OF LEICESTER,43,0.142
CURTIN UNIVERSITY,42,0.139
HALLYM UNIVERSITY,42,0.139
HAROKOPIO UNIVERSITY ATHENS,42,0.139
HOPITAL UNIVERSITAIRE EUROPEEN GEORGES POMPIDOU APHP,42,0.139
ROYAL PERTH HOSPITAL,42,0.139
UNIVERSITY OF MEMPHIS,42,0.139
UNIVERSITY OF TEXAS RIO GRANDE VALLEY,42,0.139
VIRGINIA POLYTECHNIC INSTITUTE STATE UNIVERSITY,42,0.139
AUBURN UNIVERSITY,41,0.136
AUBURN UNIVERSITY SYSTEM,41,0.136
AZIENDA OSPEDALIERA UNIVERSITARIA INTEGRATA VERONA,41,0.136
COLLEGIUM MEDICUM JAGIELLONIAN UNIVERSITY,41,0.136
GEORGIA STATE UNIVERSITY,41,0.136
HOSPITAL DEL MAR,41,0.136
JAGIELLONIAN UNIVERSITY,41,0.136
KYOTO UNIVERSITY,41,0.136
NORTHWELL HEALTH,41,0.136
