Accession_Number,DOI,Pubmed_ID,Article_Title,Link,Authors,Source,Research_Area,Document Type,Volume,Issue,Pages,Publication_Date,Times_Cited,Journal_Expected_Citations,Category_Expected_Citations,Journal_Normalized_Citation_Impact,Category_Normalized_Citation_Impact,Percentile_in_Subject_Area,Journal_Impact_Factor
WOS:A1990EN52200008,n/a,MEDLINE:2204367,RECRUITING YOUNG-ADULTS IN AN URBAN SETTING - THE CHICAGO CARDIA EXPERIENCE,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1990EN52200008,"Orden, SR; Dyer, AR; Liu, K",AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,6,3,176-182,1990,12,23.734694,28.54,0.51,0.4205,50.3261,4.42
WOS:A1990DE95300013,10.1161/01.ATV.10.3.430,MEDLINE:2188641,ASSOCIATION OF FASTING INSULIN WITH BLOOD-PRESSURE AND LIPIDS IN YOUNG-ADULTS - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1990DE95300013,"Manolio, TA; Savage, PJ; Burke, GL; Liu, K; Wagenknecht, LE; Sidney, S; Jacobs, DR; Roseman, JM; Donahue, RP; Oberman, A",ARTERIOSCLEROSIS,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE,Article,10,3,430-436,1990,197,83.135922,37.16,2.37,5.3018,2.6914,n/a
WOS:A1990DK49400004,10.1016/0091-7435(90)90017-E,MEDLINE:2193307,CIGARETTE-SMOKING BEHAVIOR IS STRONGLY RELATED TO EDUCATIONAL STATUS - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1990DK49400004,"Wagenknecht, LE; Perkins, LL; Cutter, GR; Sidney, S; Burke, GL; Manolio, TA; Jacobs, DR; Liu, KA; Friedman, GD; Hughes, GH; Hulley, SB",PREVENTIVE MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,19,2,158-169,1990,125,52.885246,28.54,2.36,4.3804,3.6817,3.788
WOS:A1990CJ19800001,10.1016/0895-4356(90)90050-Y,MEDLINE:1969463,ALCOHOL INTAKE AND BLOOD-PRESSURE IN YOUNG-ADULTS - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1990CJ19800001,"Dyer, AR; Cutter, GR; Liu, K; Armstrong, MA; Friedman, GD; Hughes, GH; Dolce, JJ; Raczynski, J; Burke, G; Manolio, T",JOURNAL OF CLINICAL EPIDEMIOLOGY,"HEALTH CARE SCIENCES & SERVICES; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,43,1,13-Jan,1990,108,67.445161,30.41,1.6,3.5519,3.6508,4.952
WOS:A1990EJ67600002,10.1007/BF00844831,MEDLINE:2273523,"SELECTION, TRAINING, AND QUALITY-CONTROL OF TYPE-A INTERVIEWERS IN A PROSPECTIVE-STUDY OF YOUNG-ADULTS",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1990EJ67600002,"Tallmer, J; Scherwitz, L; Chesney, M; Hecker, M; Hunkeler, E; Serwitz, J; Hughes, G",JOURNAL OF BEHAVIORAL MEDICINE,"PSYCHOLOGY, CLINICAL",Article,13,5,449-466,1990,3,35.4,36.65,0.08,0.0818,81.7608,2.988
WOS:A1991EP70400003,10.1093/oxfordjournals.aje.a115807,MEDLINE:1983903,"DIET, BODY SIZE, AND PLASMA LIPIDS-LIPOPROTEINS IN YOUNG-ADULTS - DIFFERENCES BY RACE AND SEX - THE CORONARY-ARTERY RISK DEVELOPMENT IN YOUNG-ADULTS (CARDIA) STUDY",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1991EP70400003,"Vanhorn, LV; Ballew, C; Liu, K; Ruth, K; McDonald, A; Hilner, JE; Burke, GL; Savage, PJ; Bragg, C; Caan, B; Jacobs, D; Slattery, M; Sidney, S",AMERICAN JOURNAL OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,133,1,23-Sep,1991,64,86.592105,28.95,0.74,2.2108,10.428,4.526
WOS:A1991FP83700014,10.1016/0895-4356(91)90221-T,MEDLINE:2037862,CORRELATES OF FASTING INSULIN LEVELS IN YOUNG-ADULTS - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1991FP83700014,"Manolio, TA; Savage, PJ; Burke, GL; Hilner, JE; Liu, K; Orchard, TJ; Sidney, S; Oberman, A",JOURNAL OF CLINICAL EPIDEMIOLOGY,"HEALTH CARE SCIENCES & SERVICES; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,44,6,571-578,1991,49,54.068571,29.26,0.91,1.6747,14.5617,4.952
WOS:A1991GN03200025,n/a,MEDLINE:1951168,MEAT CONSUMPTION AND ITS ASSOCIATIONS WITH OTHER DIET AND HEALTH FACTORS IN YOUNG-ADULTS - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1991GN03200025,"Slattery, ML; Jacobs, DR; Hilner, JE; Caan, BJ; VanHorn, L; Bragg, C; Manolio, TA; Kushi, LH; Liu, K",AMERICAN JOURNAL OF CLINICAL NUTRITION,NUTRITION & DIETETICS,Article,54,5,930-935,1991,33,79.725624,29.89,0.41,1.1042,24.3939,6.766
WOS:A1991FV26600004,10.1093/oxfordjournals.aje.a115835,MEDLINE:2063831,COMPARISON OF 2 METHODS OF ASSESSING PHYSICAL-ACTIVITY IN THE CORONARY-ARTERY RISK DEVELOPMENT IN YOUNG-ADULTS (CARDIA) STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1991FV26600004,"Sidney, S; Jacobs, DR; Haskell, WL; Armstrong, MA; Dimicco, A; Oberman, A; Savage, PJ; Slattery, ML; Sternfeld, B; VanHorn, L",AMERICAN JOURNAL OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,133,12,1231-1245,1991,153,86.592105,28.95,1.77,5.2852,2.4397,4.526
WOS:A1991EW48800014,10.1378/chest.99.2.315,MEDLINE:1989788,PULMONARY-FUNCTION AND CARDIOVASCULAR RISK FACTOR RELATIONSHIPS IN BLACK AND IN WHITE YOUNG MEN AND WOMEN - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1991EW48800014,"Higgins, M; Keller, JB; Wagenknecht, LE; Townsend, MC; Sparrow, D; Jacobs, DR; Hughes, G",CHEST,CRITICAL CARE MEDICINE; RESPIRATORY SYSTEM,Article,99,2,315-322,1991,53,43.373188,32.54,1.22,1.629,15.3846,8.308
WOS:A1991GF18400020,10.1161/01.CIR.84.3.1176,MEDLINE:1884448,RELATION OF RISK FACTOR LEVELS IN YOUNG ADULTHOOD TO PARENTAL HISTORY OF DISEASE - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1991GF18400020,"Burke, GL; Savage, PJ; Sprafka, JM; Selby, JV; Jacobs, DR; Perkins, LL; Roseman, JM; Hughes, GH; Fabsitz, RR",CIRCULATION,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE,Article,84,3,1176-1187,1991,81,100.93864,37.36,0.8,2.1682,9.0542,23.603
WOS:A1991GF10800011,n/a,MEDLINE:1918764,"THE CARDIA DIETARY HISTORY - DEVELOPMENT, IMPLEMENTATION, AND EVALUATION",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1991GF10800011,"McDonald, A; VanHorn, L; Slattery, M; Hilner, J; Bragg, C; Caan, B; Jacobs, D; Liu, K; Hubert, H; Gernhofer, N; Betz, E; Havlik, D",JOURNAL OF THE AMERICAN DIETETIC ASSOCIATION,NUTRITION & DIETETICS,Article,91,9,1104-1112,1991,196,22.106383,29.89,8.87,6.558,1.9455,n/a
WOS:A1991EV35000004,10.1097/00006842-199101000-00004,MEDLINE:2011649,COOK-MEDLEY HOSTILITY SCALE AND SUBSETS - RELATIONSHIP TO DEMOGRAPHIC AND PSYCHOSOCIAL CHARACTERISTICS IN YOUNG-ADULTS IN THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1991EV35000004,"Scherwitz, L; Perkins, L; Chesney, M; Hughes, G",PSYCHOSOMATIC MEDICINE,"PSYCHOLOGY, MULTIDISCIPLINARY; PSYCHIATRY; PSYCHOLOGY",Article,53,1,36-49,1991,110,69.960784,32.97,1.57,3.3362,4.2464,3.702
WOS:A1992KB44000006,10.2105/AJPH.82.12.1621,MEDLINE:1456336,CORRELATES OF OBESITY IN YOUNG BLACK-AND-WHITE WOMEN - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1992KB44000006,"Burke, GL; Savage, PJ; Manolio, TA; Sprafka, JM; Wagenknecht, LE; Sidney, S; Perkins, LI; Liu, K; Jacobs, DR",AMERICAN JOURNAL OF PUBLIC HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,82,12,1621-1625,1992,111,88.387097,34.89,1.26,3.1812,4.6711,6.464
WOS:A1992HR86600012,10.1093/oxfordjournals.aje.a116349,MEDLINE:1580246,RANDOM DIGIT DIALING IN CHICAGO CARDIA - COMPARISON OF INDIVIDUALS WITH UNLISTED AND LISTED TELEPHONE NUMBERS,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1992HR86600012,"Orden, SR; Dyer, AR; Liu, K; Perkins, L; Ruth, KJ; Burke, G; Manolio, TA",AMERICAN JOURNAL OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,135,6,697-709,1992,23,92.676,34.89,0.25,0.6592,34.5227,4.526
WOS:A1992HC81900005,n/a,MEDLINE:1549006,SYMPTOM-LIMITED GRADED TREADMILL EXERCISE TESTING IN YOUNG-ADULTS IN THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1992HC81900005,"Sidney, S; Haskell, WL; Crow, R; Sternfeld, B; Oberman, A; Armstrong, MA; Cutter, GR; Jacobs, DR; Savage, PJ; VanHorn, L",MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,SPORT SCIENCES,Article,24,2,177-183,1992,88,51.692683,34.9,1.7,2.5214,8.096,4.029
WOS:A1992HE06900028,10.1001/archinte.152.2.397,MEDLINE:1739373,"HIV ANTIBODY TESTING IN YOUNG, URBAN ADULTS",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1992HE06900028,"Berrios, DC; Hearst, N; Perkins, LL; Burke, GL; Sidney, S; McCreath, HE; Hulley, SB",ARCHIVES OF INTERNAL MEDICINE,"MEDICINE, GENERAL & INTERNAL",Article,152,2,397-402,1992,24,66.176991,17.84,0.36,1.3454,12.476,n/a
WOS:A1992HR26600008,10.1016/0197-2456(92)90021-Q,MEDLINE:1316830,QUALITY-CONTROL OF DIETARY DATA-COLLECTION IN THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1992HR26600008,"Hilner, JE; McDonald, A; VanHorn, L; Bragg, C; Caan, B; Slattery, ML; Birch, R; Smoak, CG; Wittes, J",CONTROLLED CLINICAL TRIALS,"PHARMACOLOGY & PHARMACY; MEDICINE, RESEARCH & EXPERIMENTAL",Article,13,2,156-169,1992,32,22.212121,27.97,1.44,1.1442,20.4254,n/a
WOS:A1992HN33700007,10.1016/0197-2456(92)90031-T,MEDLINE:1315666,DISTRIBUTED DATA-ANALYSIS IN A MULTICENTER STUDY - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1992HN33700007,"Perkins, LL; Cutter, GR; Wagenknecht, LE; Savage, PJ; Dyer, AR; Birch, R",CONTROLLED CLINICAL TRIALS,"MEDICINE, RESEARCH & EXPERIMENTAL; PHARMACOLOGY & PHARMACY",Article,13,1,80-90,1992,5,22.212121,27.97,0.23,0.1788,63.1288,n/a
WOS:A1992HL39900007,10.2105/AJPH.82.1.33,MEDLINE:1536331,MISCLASSIFICATION OF SMOKING STATUS IN THE CARDIA STUDY - A COMPARISON OF SELF-REPORT WITH SERUM COTININE LEVELS,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1992HL39900007,"Wagenknecht, LE; Burke, GL; Perkins, LL; Haley, NJ; Friedman, GD",AMERICAN JOURNAL OF PUBLIC HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,82,1,33-36,1992,291,88.387097,34.89,3.29,8.3399,1.0078,6.464
WOS:A1992HR46800005,n/a,MEDLINE:1570801,"ASSOCIATIONS OF BODY-FAT AND ITS DISTRIBUTION WITH DIETARY-INTAKE, PHYSICAL-ACTIVITY, ALCOHOL, AND SMOKING IN BLACKS AND WHITES",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1992HR46800005,"Slattery, ML; McDonald, A; Bild, DE; Caan, BJ; Hilner, JE; Jacobs, DR; Liu, K",AMERICAN JOURNAL OF CLINICAL NUTRITION,NUTRITION & DIETETICS,Article,55,5,943-949,1992,151,61.349081,28.72,2.46,5.2581,2.6301,6.766
WOS:A1992JN32200046,n/a,MEDLINE:1526025,SEX-RELATED AND RACE-RELATED DIFFERENCES IN LIVER-ASSOCIATED SERUM CHEMISTRY TESTS IN YOUNG-ADULTS IN THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1992JN32200046,"Manolio, TA; Burke, GL; Savage, PJ; Jacobs, DR; Sidney, S; Wagenknecht, LE; Allman, RM; Tracy, RP",CLINICAL CHEMISTRY,MEDICAL LABORATORY TECHNOLOGY,Note,38,9,1853-1859,1992,51,20.050847,14.69,2.54,3.472,4.3478,7.292
WOS:A1992JM69400019,10.1164/ajrccm/146.3.644,MEDLINE:1519841,ARE RACE AND SEX-DIFFERENCES IN LUNG-FUNCTION EXPLAINED BY FRAME SIZE - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1992JM69400019,"Jacobs, DR; Nelson, ET; Dontas, AS; Keller, J; Slattery, ML; Higgins, M",AMERICAN REVIEW OF RESPIRATORY DISEASE,RESPIRATORY SYSTEM,Article,146,3,644-649,1992,32,71.652344,33.79,0.45,0.9469,30.2129,n/a
WOS:A1992JN54100002,10.1093/oxfordjournals.aje.a116480,MEDLINE:1415137,HOSTILITY AND HEALTH BEHAVIORS IN YOUNG-ADULTS - THE CARDIA STUDY,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1992JN54100002,"Scherwitz, LW; Perkins, LL; Chesney, MA; Hughes, GH; Sidney, S; Manolio, TA",AMERICAN JOURNAL OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,136,2,136-145,1992,146,92.676,34.89,1.58,4.1843,2.928,4.526
WOS:A1993MB69900009,n/a,MEDLINE:8416117,CHANGES IN SEXUAL-BEHAVIOR BY YOUNG URBAN HETEROSEXUAL ADULTS IN RESPONSE TO THE AIDS EPIDEMIC,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1993MB69900009,"Melnick, SL; Jeffery, RW; Burke, GL; Gilbertson, DT; Perkins, LL; Sidney, S; McCreath, HE; Wagenknecht, LE; Hulley, SB",PUBLIC HEALTH REPORTS,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,108,5,582-588,1993,9,24.5,32.7,0.37,0.2753,62.7289,1.764
WOS:A1993MG58900007,10.1016/0895-4356(93)90090-N,MEDLINE:8229103,RELATIONSHIP BETWEEN HEMOGLOBIN AND CARDIOVASCULAR RISK-FACTORS IN YOUNG-ADULTS,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:A1993MG58900007,"Shimakawa, T; Bild, DE",JOURNAL OF CLINICAL EPIDEMIOLOGY,"HEALTH CARE SCIENCES & SERVICES; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,46,11,1257-1266,1993,31,89.270833,35.08,0.35,0.8838,24.1012,4.952
