Book_Series_Titles,records,percent_of_total
NEW DIRECTIONS FOR CHILD AND ADOLESCENT DEVELOPMENT,1,0.003
NEW DIRECTIONS IN PHILOSOPHY AND COGNITIVE SCIENCE,1,0.003
OXIDATIVE STRESS AND DISEASE,1,0.003
PALGRAVE STUDIES IN AGRICULTURAL ECONOMICS AND FOOD POLICY,1,0.003
PEDIATRIC AND ADOLESCENT MEDICINE,1,0.003
PHILOSOPHY AND MEDICINE,1,0.003
PHYSIOLOGY IN HEALTH AND DISEASE,1,0.003
PROGRESS IN EXPERIMENTAL CARDIOLOGY,1,0.003
PROGRESS IN PATHOLOGY,1,0.003
PROGRESS IN RESPIRATORY RESEARCH,1,0.003
PROTEINS AND CELL REGULATION,1,0.003
PUBLIC HEALTH IN THE 21ST CENTURY,1,0.003
RECENT ADVANCES IN POLYPHENOL RESEARCH,1,0.003
REFERENCE SERIES IN PHYTOCHEMISTRY,1,0.003
RESEARCH AND PERSPECTIVES IN ENDOCRINE INTERACTIONS,1,0.003
RESEARCH IN HUMAN RESOURCES MANAGEMENT,1,0.003
RESEARCH IN PERSONNEL AND HUMAN RESOURCES MANAGEMENT,1,0.003
RESEARCH IN THE SOCIOLOGY OF WORK,1,0.003
REVIEWS OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,1,0.003
ROUTLEDGE ADVANCES IN SOCIOLOGY,1,0.003
ROUTLEDGE COMPANIONS IN BUSINESS MANAGEMENT AND ACCOUNTING,1,0.003
ROUTLEDGE INTERNATIONAL HANDBOOKS,1,0.003
ROUTLEDGE RESEARCH IN EDUCATION,1,0.003
ROUTLEDGE RESEARCH IN SPORT CULTURE AND SOCIETY,1,0.003
ROUTLEDGE SERIES FOR CREATIVE TEACHING AND LEARNING IN ANTHROPOLOGY,1,0.003
ROUTLEDGE STUDIES IN CULTURAL HISTORY,1,0.003
ROUTLEDGE STUDIES IN FOOD SOCIETY AND ENVIRONMENT,1,0.003
ROUTLEDGE STUDIES IN PUBLIC HEALTH,1,0.003
ROYAL SOCIETY OF MEDICINE INTERNATIONAL CONGRESS AND SYMPOSIUM SERIES,1,0.003
RUTGERS SERIES ON SELF AND SOCIAL IDENTITY,1,0.003
SERIES IN APPLIED PSYCHOLOGY,1,0.003
SERIES IN DEATH DYING AND BEREAVEMENT,1,0.003
SERIES IN MATERNAL FETAL MEDICINE,1,0.003
SMART INNOVATION SYSTEMS AND TECHNOLOGIES,1,0.003
SOCIAL DISPARITIES IN HEALTH AND HEALTH CARE,1,0.003
SOCIETY FOR THE STUDY OF HUMAN BIOLOGY SERIES,1,0.003
SPORTS AND ATHLETICS PREPARATION PERFORMANCE AND PSYCHOLOGY,1,0.003
SPRINGER SERIES IN TRANSLATIONAL STROKE RESEARCH,1,0.003
STUDIES IN CRITICAL SOCIAL SCIENCES,1,0.003
STUDIES IN HEALTH TECHNOLOGY AND INFORMATICS,1,0.003
STUDIES IN MECHANOBIOLOGY TISSUE ENGINEERING AND BIOMATERIALS,1,0.003
STUDIES IN NATURAL PRODUCTS CHEMISTRY,1,0.003
SUBCELLULAR BIOCHEMISTRY,1,0.003
SYDNEY SYMPOSIUM OF SOCIAL PSYCHOLOGY,1,0.003
TEACHING RACE AND ETHNICITY,1,0.003
TRANSPORT AND SUSTAINABILITY,1,0.003
TRANSPORTATION RESEARCH PROCEDIA,1,0.003
UNDERSTANDING POPULATION TRENDS AND PROCESSES,1,0.003
WILEY BLACKWELL HANDBOOKS OF BEHAVIORAL NEUROSCIENCE,1,0.003
WILEY HANDBOOKS IN CRIMINOLOGY AND CRIMINAL JUSTICE,1,0.003
WORK LIFE BALANCE,1,0.003
