Funding_Agencies,records,percent_of_total
INTRAMURAL RESEARCH PROGRAM OF THE NATIONAL INSTITUTE ON AGING NIA,153,0.506
INSTITUTO DE SALUD CARLOS III,149,0.493
JOHNS HOPKINS UNIVERSITY,141,0.466
GLAXOSMITHKLINE,136,0.45
MERCK COMPANY,133,0.44
PFIZER,128,0.423
FEDERAL MINISTRY OF EDUCATION RESEARCH BMBF,127,0.42
AGENCY FOR HEALTHCARE RESEARCH QUALITY,125,0.413
ASTRAZENECA,121,0.4
CAPES,118,0.39
NATIONAL SCIENCE FOUNDATION NSF,118,0.39
GERMAN RESEARCH FOUNDATION DFG,117,0.387
JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE,114,0.377
NATIONAL HEART FOUNDATION OF AUSTRALIA,114,0.377
EUROPEAN COMMISSION JOINT RESEARCH CENTRE,113,0.374
NIH NATIONAL INSTITUTE OF ALLERGY INFECTIOUS DISEASES NIAID,112,0.37
NETHERLANDS ORGANIZATION FOR HEALTH RESEARCH AND DEVELOPMENT,109,0.36
SPANISH GOVERNMENT,108,0.357
NOVARTIS,106,0.35
UNITED STATES DEPARTMENT OF AGRICULTURE USDA,106,0.35
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,104,0.344
NETHERLANDS ORGANIZATION FOR SCIENTIFIC RESEARCH NWO,102,0.337
NIH NATIONAL INSTITUTE OF ARTHRITIS MUSCULOSKELETAL SKIN DISEASES NIAMS,96,0.317
CANCER RESEARCH UK,93,0.307
NOVO NORDISK,88,0.291
MINISTRY OF HEALTH LABOUR AND WELFARE JAPAN,87,0.288
NIH NATIONAL HUMAN GENOME RESEARCH INSTITUTE NHGRI,86,0.284
SWEDISH HEART LUNG FOUNDATION,84,0.278
AMGEN,83,0.274
UNIVERSITY OF CALIFORNIA SYSTEM,83,0.274
AUSTRALIAN GOVERNMENT,80,0.264
AUSTRALIAN RESEARCH COUNCIL,73,0.241
JUHO VAINIO FOUNDATION,73,0.241
NETHERLANDS HEART FOUNDATION,71,0.235
NIH OFFICE OF RESEARCH ON WOMEN S HEALTH ORWH,71,0.235
SANOFI AVENTIS,70,0.231
SWISS NATIONAL SCIENCE FOUNDATION SNSF,70,0.231
ABBOTT LABORATORIES,69,0.228
ELI LILLY,68,0.225
BRISTOL MYERS SQUIBB,64,0.212
FINNISH CULTURAL FOUNDATION,62,0.205
EUROPEAN RESEARCH COUNCIL ERC,61,0.202
NATIONAL BASIC RESEARCH PROGRAM OF CHINA,61,0.202
NOVO NORDISK FOUNDATION,61,0.202
BOEHRINGER INGELHEIM,60,0.198
UNITED STATES DEPARTMENT OF DEFENSE,59,0.195
NATIONAL SCIENCE COUNCIL OF TAIWAN,58,0.192
AMERICAN DIABETES ASSOCIATION,57,0.188
BIOTECHNOLOGY AND BIOLOGICAL SCIENCES RESEARCH COUNCIL BBSRC,54,0.179
ROCHE HOLDING,54,0.179
BAYER AG,53,0.175
FONDS DE LA RECHERCHE EN SANTE DU QUEBEC,53,0.175
SWEDISH RESEARCH COUNCIL FOR HEALTH WORKING LIFE WELFARE FORTE,53,0.175
NIH NATIONAL INSTITUTE OF DENTAL CRANIOFACIAL RESEARCH NIDCR,51,0.169
FRENCH NATIONAL RESEARCH AGENCY ANR,50,0.165
GRANTS IN AID FOR SCIENTIFIC RESEARCH KAKENHI,50,0.165
NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY HEALTH NIOSH,50,0.165
SIGRID JUSELIUS FOUNDATION,50,0.165
FWO,48,0.159
HEART STROKE FOUNDATION OF CANADA,48,0.159
DEPARTMENT OF HEALTH,47,0.155
AMERICAN CANCER SOCIETY,46,0.152
NETHERLANDS GOVERNMENT,46,0.152
NIH FOGARTY INTERNATIONAL CENTER FIC,46,0.152
NATIONAL RESEARCH FOUNDATION OF KOREA,45,0.149
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY,45,0.149
EMIL AALTONEN FOUNDATION,44,0.145
NATURAL SCIENCES AND ENGINEERING RESEARCH COUNCIL OF CANADA,44,0.145
NIH NATIONAL CENTER FOR COMPLEMENTARY ALTERNATIVE MEDICINE,44,0.145
PAAVO NURMI FOUNDATION,44,0.145
TAKEDA PHARMACEUTICAL COMPANY LTD,44,0.145
CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA CONACYT,43,0.142
PORTUGUESE FOUNDATION FOR SCIENCE AND TECHNOLOGY,43,0.142
RESEARCH COUNCIL OF NORWAY,43,0.142
MEDTRONIC,42,0.139
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE INSERM,41,0.136
YRJO JAHNSSON FOUNDATION,41,0.136
MINISTRY OF HEALTH ITALY,40,0.132
MINISTRY OF SCIENCE AND TECHNOLOGY CHINA,40,0.132
CANADA RESEARCH CHAIRS,39,0.129
JOHNSON JOHNSON USA,39,0.129
NIH NATIONAL INSTITUTE ON DEAFNESS OTHER COMMUNICATION DISORDERS NIDCD,37,0.122
NORTHWESTERN UNIVERSITY FIELD CENTER,37,0.122
SOCIAL INSURANCE INSTITUTION OF FINLAND,37,0.122
LEDUCQ FOUNDATION,36,0.119
EUROPEAN COMMUNITY EC,35,0.116
FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES,35,0.116
CAROLINA POPULATION CENTER,34,0.112
NATIONAL KEY RESEARCH AND DEVELOPMENT PROGRAM OF CHINA,34,0.112
NATIONAL RESEARCH FOUNDATION SOUTH AFRICA,34,0.112
UNIVERSITY OF ALABAMA AT BIRMINGHAM COORDINATING CENTER,34,0.112
FINNISH FOUNDATION FOR CARDIOVASCULAR RESEARCH,32,0.106
INTRAMURAL CDC HHS,32,0.106
JUNTA DE ANDALUCIA,32,0.106
NATIONAL NATURAL SCIENCE FOUNDATION OF GUANGDONG PROVINCE,32,0.106
UNIVERSITY OF ALABAMA AT BIRMINGHAM FIELD CENTER,32,0.106
UNITED STATES HEALTH RESOURCES SERVICE ADMINISTRATION HRSA,31,0.102
DANISH HEART FOUNDATION,30,0.099
DORIS DUKE CHARITABLE FOUNDATION DDCF,30,0.099
HELMHOLTZ ASSOCIATION,30,0.099
DEPARTMENT OF INDUSTRY INNOVATION AND SCIENCE,29,0.096
GILEAD SCIENCES,29,0.096
JOHN D AND CATHERINE T MACARTHUR FOUNDATION RESEARCH NETWORK ON SUCCESSFUL MIDLIFE DEVELOPMENT,29,0.096
MINISTRY OF EDUCATION UNIVERSITIES AND RESEARCH MIUR,29,0.096
CHINA SCHOLARSHIP COUNCIL,28,0.093
HEALTH RESEARCH COUNCIL OF NEW ZEALAND,28,0.093
FINNISH FOUNDATION OF CARDIOVASCULAR RESEARCH,27,0.089
MUNICIPALITY OF ROTTERDAM,27,0.089
NATIONAL KEY R D PROGRAM OF CHINA,27,0.089
TEHRAN UNIVERSITY OF MEDICAL SCIENCES,27,0.089
GENZYME CORPORATION,26,0.086
JANSSEN BIOTECH INC,26,0.086
SIGNE AND ANE GYLLENBERG FOUNDATION,26,0.086
UNIVERSITY OF BRISTOL,26,0.086
WORLD HEALTH ORGANIZATION,26,0.086
CHIEF SCIENTIST OFFICE,25,0.083
INDIAN COUNCIL OF MEDICAL RESEARCH ICMR,25,0.083
TAMPERE TUBERCULOSIS FOUNDATION,25,0.083
ALZHEIMER S ASSOCIATION,24,0.079
BEIJING NATURAL SCIENCE FOUNDATION,24,0.079
COMISION NACIONAL DE INVESTIGACION CIENTIFICA Y TECNOLOGICA CONICYT,24,0.079
DAIICHI SANKYO COMPANY LIMITED,24,0.079
WAKE FOREST UNIVERSITY,24,0.079
WORLD CANCER RESEARCH FUND INTERNATIONAL WCRF,24,0.079
ASSOCIAZIONE ITALIANA PER LA RICERCA SUL CANCRO AIRC,23,0.076
GENENTECH,23,0.076
MARCH OF DIMES,23,0.076
MINISTRY OF SCIENCE AND TECHNOLOGY TAIWAN,23,0.076
DEPARTMENT OF HEALTH AGEING,22,0.073
ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCIL EPSRC,22,0.073
MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGY REPUBLIC OF KOREA,22,0.073
NARSAD,22,0.073
SWEDISH RESEARCH COUNCIL FORMAS,22,0.073
UNIVERSITY OF MICHIGAN SYSTEM,22,0.073
BOSTON SCIENTIFIC,21,0.069
CHINA POSTDOCTORAL SCIENCE FOUNDATION,21,0.069
DANISH MEDICAL RESEARCH COUNCIL,21,0.069
ERASMUS UNIVERSITY ROTTERDAM,21,0.069
HOWARD HUGHES MEDICAL INSTITUTE,21,0.069
JACKSON STATE UNIVERSITY,21,0.069
MINAS GERAIS STATE RESEARCH FOUNDATION FAPEMIG,21,0.069
NIH NATIONAL EYE INSTITUTE NEI,21,0.069
SERVIER,21,0.069
STATE OF BAVARIA,21,0.069
CANADIAN DIABETES ASSOCIATION,20,0.066
COCA COLA COMPANY,20,0.066
EUROPEAN SCIENCE FOUNDATION ESF,20,0.066
EUROPEAN SOCIAL FUND ESF,20,0.066
FINNISH MEDICAL FOUNDATION,20,0.066
HEART STROKE FOUNDATION OF ONTARIO,20,0.066
KOREAN GOVERNMENT,20,0.066
NATURAL SCIENCE FOUNDATION OF ZHEJIANG PROVINCE,20,0.066
US DEPARTMENT OF HEALTH AND HUMAN SERVICES,20,0.066
MINISTRY OF HEALTH WELFARE REPUBLIC OF KOREA,19,0.063
MSD,19,0.063
NATIONAL MEDICAL RESEARCH COUNCIL SINGAPORE,19,0.063
PHILIPS RESPIRONICS,19,0.063
TASMANIAN COMMUNITY FUND,19,0.063
CARLOS CHAGAS FILHO FOUNDATION FOR RESEARCH SUPPORT OF THE STATE OF RIO DE JANEIRO FAPERJ,18,0.06
COUSINS CENTER FOR PSYCHONEUROIMMUNOLOGY,18,0.06
DANISH CANCER SOCIETY,18,0.06
DEUTSCHE KREBSHILFE,18,0.06
EISAI CO LTD,18,0.06
MINISTRY FOR HEALTH WELFARE AND SPORTS,18,0.06
MINISTRY OF HEALTH TURKEY,18,0.06
STATE OF UTAH DEPARTMENT OF HEALTH,18,0.06
VEOLIA ENVIRONMENTAL SERVICES,18,0.06
VICTORIAN GOVERNMENT S OPERATIONAL INFRASTRUCTURE SUPPORT PROGRAM,18,0.06
AGENCY FOR SCIENCE TECHNOLOGY RESEARCH ASTAR,17,0.056
FONDATION POUR LA RECHERCHE MEDICALE,17,0.056
GENERALITAT VALENCIANA,17,0.056
JAPAN AGENCY FOR MEDICAL RESEARCH AND DEVELOPMENT AMED,17,0.056
SOCIAL SCIENCES AND HUMANITIES RESEARCH COUNCIL OF CANADA SSHRC,17,0.056
SOUTH AFRICAN MEDICAL RESEARCH COUNCIL,17,0.056
SPANISH MINISTRY OF ECONOMY AND COMPETITIVENESS,17,0.056
CANADA FOUNDATION FOR INNOVATION,16,0.053
CARDIA,16,0.053
CONICYT FONDECYT,16,0.053
GE HEALTHCARE,16,0.053
MINISTRY OF SCIENCE AND HIGHER EDUCATION POLAND,16,0.053
NATIONAL HIGH TECHNOLOGY RESEARCH AND DEVELOPMENT PROGRAM OF CHINA,16,0.053
NATIONAL RESEARCH COUNCIL OF THE ISLAMIC REPUBLIC OF IRAN,16,0.053
NAVARRA REGIONAL GOVERNMENT,16,0.053
ODCDC CDC HHS,16,0.053
RESEARCH INSTITUTE FOR DISEASES IN THE ELDERLY RIDE,16,0.053
SANOFI,16,0.053
SIEMENS,16,0.053
STOCKHOLM COUNTY COUNCIL,16,0.053
TOUGALOO COLLEGE,16,0.053
TURKU UNIVERSITY FOUNDATION,16,0.053
UNIVERSITY MEDICAL CENTER GRONINGEN,16,0.053
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,16,0.053
UNIVERSITY OF TORONTO,16,0.053
ASTELLAS PHARMACEUTICALS,15,0.05
DIABETES UK,15,0.05
DUTCH KIDNEY FOUNDATION,15,0.05
FONDAZIONE TELETHON,15,0.05
GENERALITAT DE CATALUNYA,15,0.05
HARBOR UCLA RESEARCH EDUCATION INSTITUTE COMPUTED TOMOGRAPHY READING CENTER,15,0.05
HEALTH CANADA,15,0.05
HONG KONG RESEARCH GRANTS COUNCIL,15,0.05
ITALIAN NATIONAL RESEARCH COUNCIL,15,0.05
LUNDBECKFONDEN,15,0.05
NATIONAL INSTITUTES OF HEALTH S NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,15,0.05
ONTARIO GRADUATE SCHOLARSHIP,15,0.05
OTSUKA PHARMACEUTICAL,15,0.05
ROCHE DIAGNOSTICS,15,0.05
ST JUDE MEDICAL,15,0.05
UNIVERSITY GRANTS COMMISSION INDIA,15,0.05
UNIVERSITY OF MIAMI,15,0.05
UNIVERSITY OF NAVARRA,15,0.05
BAYER HEALTHCARE PHARMACEUTICALS,14,0.046
BEIJING MUNICIPAL SCIENCE TECHNOLOGY COMMISSION,14,0.046
COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSIR INDIA,14,0.046
DONALD W REYNOLDS FOUNDATION,14,0.046
FONDATION DE FRANCE,14,0.046
JOHN D AND CATHERINE T MACARTHUR FOUNDATION,14,0.046
LEIDEN UNIVERSITY MEDICAL CENTER,14,0.046
MEDICAL RESEARCH COUNCIL OF SOUTH AFRICA,14,0.046
METAGENICS INC,14,0.046
MICHAEL SMITH FOUNDATION FOR HEALTH RESEARCH,14,0.046
NIH NATIONAL INSTITUTE OF BIOMEDICAL IMAGING BIOENGINEERING NIBIB,14,0.046
NIOSH CDC HHS,14,0.046
PENNSYLVANIA DEPARTMENT OF HEALTH,14,0.046
SACRAMENTO TUMOR REGISTRY,14,0.046
SHIRE,14,0.046
ALBERT EINSTEIN COLLEGE OF MEDICINE,13,0.043
AMERICAN FEDERATION FOR AGING RESEARCH,13,0.043
AUSTRIAN SCIENCE FUND FWF,13,0.043
BIOTRONIK,13,0.043
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,13,0.043
DANSKE STRATEGISKE FORSKNINGSRAD DSF,13,0.043
DEPARTMENT OF HEALTH AND HUMAN SERVICES,13,0.043
DET FRIE FORSKNINGSRAD DFF,13,0.043
FUNDACION SENECA,13,0.043
JALMARI AND RAUHA AHOKAS FOUNDATION,13,0.043
NATIONAL HEALTH RESEARCH INSTITUTES TAIWAN,13,0.043
NATIONAL RESEARCH FOUNDATION,13,0.043
NESTLE NUTRITION NESTEC LTD,13,0.043
NORDFORSK,13,0.043
NORTHERN CALIFORNIA CANCER REGISTRY,13,0.043
REGENERON,13,0.043
RUSSIAN SCIENCE FOUNDATION RSF,13,0.043
SAN DIEGO STATE UNIVERSITY,13,0.043
SPECIALIZED RESEARCH FUND FOR THE DOCTORAL PROGRAM OF HIGHER EDUCATION SRFDP,13,0.043
SWEDISH CANCER SOCIETY,13,0.043
UNIVERSITY OF SYDNEY,13,0.043
VU UNIVERSITY MEDICAL CENTER,13,0.043
WILLIAM T GRANT FOUNDATION,13,0.043
AETNA FOUNDATION,12,0.04
DUTCH PREVENTION FUNDS,12,0.04
FOUNDATION FOR RESEARCH SUPPORT OF THE STATE OF RIO GRANDE DO SUL FAPERGS,12,0.04
GERMAN FEDERAL MINISTRY OF HEALTH,12,0.04
HEART FOUNDATION,12,0.04
JUVENILE DIABETES RESEARCH FOUNDATION,12,0.04
LUNDBECK CORPORATION,12,0.04
MAX PLANCK SOCIETY,12,0.04
MESA,12,0.04
MINISTRY OF EDUCATION CHINA,12,0.04
MINISTRY OF HEALTH AND LONG TERM CARE ONTARIO,12,0.04
MINISTRY OF HEALTH WELFARE AND SPORT OF THE NETHERLANDS,12,0.04
NATIONAL KEY TECHNOLOGY R D PROGRAM,12,0.04
NATURAL SCIENCE FOUNDATION OF SHANDONG PROVINCE,12,0.04
NIH NATIONAL LIBRARY OF MEDICINE NLM,12,0.04
PATIENT CENTERED OUTCOMES RESEARCH INSTITUTE PCORI,12,0.04
SHANGHAI SCIENCE TECHNOLOGY COMMITTEE,12,0.04
TAKEDA SCIENCE FOUNDATION TSF,12,0.04
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,12,0.04
AMARIN,11,0.036
BRAZILIAN MINISTRY OF HEALTH DEPARTMENT OF SCIENCE AND TECHNOLOGY,11,0.036
CAPITAL HEALTH DEVELOPMENT FUND,11,0.036
CLINICAL AND TRANSLATIONAL SCIENCE AWARD,11,0.036
DEPARTMENT OF SCIENCE TECHNOLOGY INDIA,11,0.036
GGZ DRENTHE,11,0.036
KAROLINSKA INSTITUTET,11,0.036
LENTIS,11,0.036
LK RESEARCH FUNDS,11,0.036
MERCK SERONO,11,0.036
MICHIGAN CENTER FOR INTEGRATIVE APPROACHES TO HEALTH DISPARITIES,11,0.036
NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,11,0.036
ORION FARMOS RESEARCH FOUNDATION,11,0.036
RESEARCH INSTITUTE FOR DISEASES IN THE ELDERLY,11,0.036
RESMED,11,0.036
SCHERING PLOUGH CORPORATION,11,0.036
SCIENCE AND TECHNOLOGY DEVELOPMENT FOUNDATION OF SHENZHEN,11,0.036
U S DEPARTMENT OF HEALTH AND HUMAN SERVICES,11,0.036
UNIVERSITY OF MELBOURNE,11,0.036
AXA,10,0.033
BOSTON UNIVERSITY,10,0.033
BRAZILIAN MINISTRY OF HEALTH SCIENCE AND TECHNOLOGY DEPARTMENT,10,0.033
BREAST CANCER RESEARCH FOUNDATION,10,0.033
CALIFORNIA BREAST CANCER RESEARCH PROGRAM,10,0.033
CANADIAN CANCER SOCIETY,10,0.033
CHINA MEDICAL UNIVERSITY HOSPITAL,10,0.033
CHINESE ACADEMY OF SCIENCES,10,0.033
COOPERATIVE RESEARCH CENTRES CRC PROGRAMME,10,0.033
GGZ FRIESLAND,10,0.033
GGZ RIVIERDUINEN,10,0.033
HEALTH AND SAFETY EXECUTIVE,10,0.033
INTRAMURAL PROGRAM AT THE NIH NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,10,0.033
ISRAEL SCIENCE FOUNDATION,10,0.033
JAPAN SCIENCE TECHNOLOGY AGENCY JST,10,0.033
KNUT ALICE WALLENBERG FOUNDATION,10,0.033
KOREA CENTERS FOR DISEASE CONTROL AND PREVENTION,10,0.033
LA CAIXA FOUNDATION,10,0.033
LIAISON COMMITTEE,10,0.033
MUTUELLE GENERALE DE L EDUCATION NATIONALE,10,0.033
NATURAL SCIENCE FOUNDATION OF JIANGSU PROVINCE,10,0.033
NEW ENGLAND MEDICAL CENTER,10,0.033
RESMED FOUNDATION,10,0.033
RUSSIAN FOUNDATION FOR BASIC RESEARCH RFBR,10,0.033
SEPRACOR,10,0.033
SWEDISH DIABETES ASSOCIATION,10,0.033
SWEDISH FOUNDATION FOR STRATEGIC RESEARCH,10,0.033
TURKU UNIVERSITY HOSPITAL MEDICAL FUND,10,0.033
UCB PHARMA SA,10,0.033
UNIVERSITY OF GRONINGEN,10,0.033
UNIVERSITY OF WASHINGTON,10,0.033
US ISRAEL BINATIONAL SCIENCE FOUNDATION,10,0.033
W K KELLOGG FOUNDATION,10,0.033
WELSH ASSEMBLY GOVERNMENT,10,0.033
3M,9,0.03
ABBVIE,9,0.03
ACADEMY OF MEDICAL SCIENCES AMS,9,0.03
ACTELION,9,0.03
ALFRED P SLOAN FOUNDATION,9,0.03
AMERICAN HEART ASSOCIATION PREVENTION NETWORK,9,0.03
BILL MELINDA GATES FOUNDATION,9,0.03
BIOGEN,9,0.03
DAIRY AUSTRALIA,9,0.03
FONDS DE LA RECHERCHE SCIENTIFIQUE FNRS,9,0.03
GGZ INGEEST,9,0.03
HELLENIC ATHEROSCLEROSIS SOCIETY,9,0.03
JIANGSU PLANNED PROJECTS FOR POSTDOCTORAL RESEARCH FUNDS,9,0.03
LAWRENCE ELLISON FOUNDATION,9,0.03
LUXEMBOURG NATIONAL RESEARCH FUND,9,0.03
NATIONAL DAIRY COUNCIL,9,0.03
NATIONAL TAIWAN UNIVERSITY,9,0.03
NCCDPHP CDC HHS,9,0.03
NORTH WEST UNIVERSITY,9,0.03
PRIORITY ACADEMIC PROGRAM DEVELOPMENT OF JIANGSU HIGHER EDUCATION INSTITUTIONS,9,0.03
SCIENCE TECHNOLOGY COMMISSION OF SHANGHAI MUNICIPALITY STCSM,9,0.03
SOUTHAMPTON NATIONAL INSTITUTE FOR HEALTH RESEARCH BIOMEDICAL RESEARCH CENTRE,9,0.03
SWEDISH MEDICAL RESEARCH COUNCIL SMRC,9,0.03
SWEDISH SCIENTIFIC COUNCIL,9,0.03
TAMPERE UNIVERSITY HOSPITAL,9,0.03
THRASHER RESEARCH FOUNDATION,9,0.03
UNITED STATES DEPARTMENT OF ENERGY DOE,9,0.03
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER FROM THE NATIONAL HEART LUNG AND BLOOD INSTITUTE NHLBI,9,0.03
UTAH CANCER REGISTRY,9,0.03
VERSUS ARTHRITIS,9,0.03
VETERANS AFFAIRS PUGET SOUND HEALTH CARE SYSTEM,9,0.03
WYETH,9,0.03
ALBERTA INNOVATES HEALTH SOLUTIONS,8,0.026
ASICS,8,0.026
BRAZILIAN MINISTRY OF HEALTH,8,0.026
BUPA FOUNDATION UK,8,0.026
CANADIAN CANCER SOCIETY RESEARCH INSTITUTE,8,0.026
CAPITAL SPECIAL FOUNDATION OF CLINICAL APPLICATION RESEARCH,8,0.026
CENTRE FOR DIET AND ACTIVITY RESEARCH CEDAR A UKCRC PUBLIC HEALTH RESEARCH CENTRE OF EXCELLENCE,8,0.026
DAIRY FARMERS OF CANADA,8,0.026
DUTCH DIABETES RESEARCH FOUNDATION,8,0.026
DZHK GERMAN CENTRE FOR CARDIOVASCULAR RESEARCH,8,0.026
ERASMUS MEDICAL CENTER ROTTERDAM,8,0.026
EUROPEAN UNION S HORIZON 2020 RESEARCH AND INNOVATION PROGRAMME,8,0.026
FINNISH DIABETES RESEARCH FOUNDATION,8,0.026
FINNISH FUNDING AGENCY FOR TECHNOLOGY INNOVATION TEKES,8,0.026
FINNISH MINISTRY OF EDUCATION AND CULTURE,8,0.026
FOREST LABORATORIES,8,0.026
FUKUDA FOUNDATION FOR MEDICAL TECHNOLOGY,8,0.026
GERMAN FEDERAL MINISTRY OF EDUCATION SCIENCE RESEARCH AND TECHNOLOGY,8,0.026
HARVARD UNIVERSITY,8,0.026
JOHN D AND CATHERINE T MACARTHUR FOUNDATION RESEARCH NETWORK,8,0.026
MAYO FOUNDATION,8,0.026
MINISTRY OF CULTURAL AFFAIRS,8,0.026
MINISTRY OF EDUCATION,8,0.026
MINISTRY OF EDUCATION YOUTH SPORTS CZECH REPUBLIC,8,0.026
MINISTRY OF HEALTH WELFARE AND SPORTS,8,0.026
MINISTRY OF RESEARCH AND INNOVATION ONTARIO,8,0.026
MITSUBISHI TANABE PHARMA CORPORATION,8,0.026
NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT,8,0.026
OFFICE OF NAVAL RESEARCH,8,0.026
PAIVIKKI AND SAKARI SOHLBERG FOUNDATION,8,0.026
RAINE MEDICAL RESEARCH FOUNDATION,8,0.026
REGION ILE DE FRANCE,8,0.026
REGION NOUVELLE AQUITAINE,8,0.026
RESEARCH TO PREVENT BLINDNESS RPB,8,0.026
RUSSELL SAGE FOUNDATION,8,0.026
SANITARIUM,8,0.026
SENSHIN MEDICAL RESEARCH FOUNDATION,8,0.026
SOCIAL MINISTRY OF THE FEDERAL STATE OF MECKLENBURG WEST POMERANIA,8,0.026
SOUTH AFRICAN MEDICAL RESEARCH COUNCIL SAMRC,8,0.026
SUSAN G KOMEN BREAST CANCER FOUNDATION,8,0.026
SUZUKEN MEMORIAL FOUNDATION,8,0.026
TARGET,8,0.026
TRI SERVICE GENERAL HOSPITAL,8,0.026
UNIVERSITY OF PITTSBURGH,8,0.026
UNIVERSITY OF PITTSBURGH CLINICAL AND TRANSLATIONAL SCIENCE INSTITUTE NIH,8,0.026
UNIVERSITY OF UTAH,8,0.026
AARNE KOSKELO FOUNDATION,7,0.023
ALLERGAN,7,0.023
ALZHEIMER S DRUG DISCOVERY FOUNDATION,7,0.023
ARKIN,7,0.023
AUGUSTINUS FOUNDATION,7,0.023
BASIC SCIENCE RESEARCH PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF SCIENCE ICT FUTURE PLANNING,7,0.023
BOSTON OBESITY NUTRITION RESEARCH CENTER,7,0.023
BURROUGHS WELLCOME FUND,7,0.023
CAREER DEVELOPMENT AWARD,7,0.023
CAROLINA POPULATION CENTER UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,7,0.023
CEPHALON,7,0.023
CHANG GUNG MEMORIAL HOSPITAL,7,0.023
CHINA MEDICAL BOARD,7,0.023
COMPAGNIA DI SAN PAOLO,7,0.023
CURTIN UNIVERSITY,7,0.023
